"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","2150","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","2179","so8bo414","1","accent_credibility_four_speakers","69de66c5b4647699846f21ed","6a0d18ca6b133c23bd4a9bda","6a0d1edf09eee17705f5b6de","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","3276","so8bo414","1","accent_credibility_four_speakers","69de66c5b4647699846f21ed","6a0d18ca6b133c23bd4a9bda","6a0d1edf09eee17705f5b6de","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","33356","","","instructions","3","2.1.0","36634","so8bo414","1","accent_credibility_four_speakers","69de66c5b4647699846f21ed","6a0d18ca6b133c23bd4a9bda","6a0d1edf09eee17705f5b6de","prolific","","","","","","","[{""page_index"":0,""viewing_time"":3350},{""page_index"":1,""viewing_time"":4681},{""page_index"":2,""viewing_time"":9141},{""page_index"":3,""viewing_time"":7731},{""page_index"":4,""viewing_time"":8452}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","1703","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","69744","so8bo414","1","accent_credibility_four_speakers","69de66c5b4647699846f21ed","6a0d18ca6b133c23bd4a9bda","6a0d1edf09eee17705f5b6de","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","74494","so8bo414","1","accent_credibility_four_speakers","69de66c5b4647699846f21ed","6a0d18ca6b133c23bd4a9bda","6a0d1edf09eee17705f5b6de","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","4342","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","4","html-slider-response","11","2.1.0","78840","so8bo414","1","accent_credibility_four_speakers","69de66c5b4647699846f21ed","6a0d18ca6b133c23bd4a9bda","6a0d1edf09eee17705f5b6de","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","4","4","0","14","definitely false","definitely true"
"practice_complete","3086","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","81929","so8bo414","1","accent_credibility_four_speakers","69de66c5b4647699846f21ed","6a0d18ca6b133c23bd4a9bda","6a0d1edf09eee17705f5b6de","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F16F_audio.webm","null","audio-keyboard-response","13","2.1.1","89123","so8bo414","1","accent_credibility_four_speakers","69de66c5b4647699846f21ed","6a0d18ca6b133c23bd4a9bda","6a0d1edf09eee17705f5b6de","prolific","","","","","","","","F16","F16F","16","Audio item F16","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F16F_audio.webm","","","","","","",""
"truth_judgment","2946","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","11","html-slider-response","14","2.1.0","92072","so8bo414","1","accent_credibility_four_speakers","69de66c5b4647699846f21ed","6a0d18ca6b133c23bd4a9bda","6a0d1edf09eee17705f5b6de","prolific","","","","","","","","F16","F16F","16","Audio item F16","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F16F_audio.webm","7","11","11","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_42F_audio.webm","null","audio-keyboard-response","15","2.1.1","96455","so8bo414","1","accent_credibility_four_speakers","69de66c5b4647699846f21ed","6a0d18ca6b133c23bd4a9bda","6a0d1edf09eee17705f5b6de","prolific","","","","","","","","42","42F","42","Audio item 42","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_42F_audio.webm","","","","","","",""
