"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","40432","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","40446","3hga2tf0","1","accent_credibility_four_speakers","69fcdde477ff2e92ab496b3a","6a0d18ca6b133c23bd4a9bda","6a0d20404eb668c5894cf4a1","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","45750","3hga2tf0","1","accent_credibility_four_speakers","69fcdde477ff2e92ab496b3a","6a0d18ca6b133c23bd4a9bda","6a0d20404eb668c5894cf4a1","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","62961","","","instructions","3","2.1.0","108713","3hga2tf0","1","accent_credibility_four_speakers","69fcdde477ff2e92ab496b3a","6a0d18ca6b133c23bd4a9bda","6a0d20404eb668c5894cf4a1","prolific","","","","","","","[{""page_index"":0,""viewing_time"":7947},{""page_index"":1,""viewing_time"":11610},{""page_index"":2,""viewing_time"":13669},{""page_index"":3,""viewing_time"":12357},{""page_index"":4,""viewing_time"":17379}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","9590","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","161957","3hga2tf0","1","accent_credibility_four_speakers","69fcdde477ff2e92ab496b3a","6a0d18ca6b133c23bd4a9bda","6a0d20404eb668c5894cf4a1","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","166768","3hga2tf0","1","accent_credibility_four_speakers","69fcdde477ff2e92ab496b3a","6a0d18ca6b133c23bd4a9bda","6a0d20404eb668c5894cf4a1","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","4019","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","9","html-slider-response","11","2.1.0","170797","3hga2tf0","1","accent_credibility_four_speakers","69fcdde477ff2e92ab496b3a","6a0d18ca6b133c23bd4a9bda","6a0d20404eb668c5894cf4a1","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","9","9","0","14","definitely false","definitely true"
"practice_complete","2989","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","173790","3hga2tf0","1","accent_credibility_four_speakers","69fcdde477ff2e92ab496b3a","6a0d18ca6b133c23bd4a9bda","6a0d20404eb668c5894cf4a1","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F9T_audio.webm","null","audio-keyboard-response","13","2.1.1","178177","3hga2tf0","1","accent_credibility_four_speakers","69fcdde477ff2e92ab496b3a","6a0d18ca6b133c23bd4a9bda","6a0d20404eb668c5894cf4a1","prolific","","","","","","","","F9","F9T","9","Audio item F9","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F9T_audio.webm","","","","","","",""
"truth_judgment","3700","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","9","html-slider-response","14","2.1.0","181881","3hga2tf0","1","accent_credibility_four_speakers","69fcdde477ff2e92ab496b3a","6a0d18ca6b133c23bd4a9bda","6a0d20404eb668c5894cf4a1","prolific","","","","","","","","F9","F9T","9","Audio item F9","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F9T_audio.webm","7","9","9","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_38T_audio.webm","null","audio-keyboard-response","15","2.1.1","185782","3hga2tf0","1","accent_credibility_four_speakers","69fcdde477ff2e92ab496b3a","6a0d18ca6b133c23bd4a9bda","6a0d20404eb668c5894cf4a1","prolific","","","","","","","","38","38T","38","Audio item 38","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_38T_audio.webm","","","","","","",""
"truth_judgment","3378","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","10","html-slider-response","16","2.1.0","189164","3hga2tf0","1","accent_credibility_four_speakers","69fcdde477ff2e92ab496b3a","6a0d18ca6b133c23bd4a9bda","6a0d20404eb668c5894cf4a1","prolific","","","","","","","","38","38T","38","Audio item 38","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_38T_audio.webm","7","10","10","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_36F_audio.webm","null","audio-keyboard-response","17","2.1.1","193067","3hga2tf0","1","accent_credibility_four_speakers","69fcdde477ff2e92ab496b3a","6a0d18ca6b133c23bd4a9bda","6a0d20404eb668c5894cf4a1","prolific","","","","","","","","36","36F","36","Audio item 36","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_36F_audio.webm","","","","","","",""
"truth_judgment","5374","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","8","html-slider-response","18","2.1.0","198445","3hga2tf0","1","accent_credibility_four_speakers","69fcdde477ff2e92ab496b3a","6a0d18ca6b133c23bd4a9bda","6a0d20404eb668c5894cf4a1","prolific","","","","","","","","36","36F","36","Audio item 36","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_36F_audio.webm","7","8","8","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F14T_audio.webm","null","audio-keyboard-response","19","2.1.1","203126","3hga2tf0","1","accent_credibility_four_speakers","69fcdde477ff2e92ab496b3a","6a0d18ca6b133c23bd4a9bda","6a0d20404eb668c5894cf4a1","prolific","","","","","","","","F14","F14T","14","Audio item F14","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F14T_audio.webm","","","","","","",""
"truth_judgment","4982","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","10","html-slider-response","20","2.1.0","208112","3hga2tf0","1","accent_credibility_four_speakers","69fcdde477ff2e92ab496b3a","6a0d18ca6b133c23bd4a9bda","6a0d20404eb668c5894cf4a1","prolific","","","","","","","","F14","F14T","14","Audio item F14","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F14T_audio.webm","7","10","10","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_12T_audio.webm","null","audio-keyboard-response","21","2.1.1","213697","3hga2tf0","1","accent_credibility_four_speakers","69fcdde477ff2e92ab496b3a","6a0d18ca6b133c23bd4a9bda","6a0d20404eb668c5894cf4a1","prolific","","","","","","","","12","12T","12","Audio item 12","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_12T_audio.webm","","","","","","",""
"truth_judgment","3677","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","8","html-slider-response","22","2.1.0","217378","3hga2tf0","1","accent_credibility_four_speakers","69fcdde477ff2e92ab496b3a","6a0d18ca6b133c23bd4a9bda","6a0d20404eb668c5894cf4a1","prolific","","","","","","","","12","12T","12","Audio item 12","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_12T_audio.webm","7","8","8","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F6F_audio.webm","null","audio-keyboard-response","23","2.1.1","222785","3hga2tf0","1","accent_credibility_four_speakers","69fcdde477ff2e92ab496b3a","6a0d18ca6b133c23bd4a9bda","6a0d20404eb668c5894cf4a1","prolific","","","","","","","","F6","F6F","6","Audio item F6","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F6F_audio.webm","","","","","","",""
"truth_judgment","3492","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","6","html-slider-response","24","2.1.0","226280","3hga2tf0","1","accent_credibility_four_speakers","69fcdde477ff2e92ab496b3a","6a0d18ca6b133c23bd4a9bda","6a0d20404eb668c5894cf4a1","prolific","","","","","","","","F6","F6F","6","Audio item F6","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F6F_audio.webm","7","6","6","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F11T_audio.webm","null","audio-keyboard-response","25","2.1.1","231446","3hga2tf0","1","accent_credibility_four_speakers","69fcdde477ff2e92ab496b3a","6a0d18ca6b133c23bd4a9bda","6a0d20404eb668c5894cf4a1","prolific","","","","","","","","F11","F11T","11","Audio item F11","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F11T_audio.webm","","","","","","",""
"truth_judgment","4436","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","6","html-slider-response","26","2.1.0","235886","3hga2tf0","1","accent_credibility_four_speakers","69fcdde477ff2e92ab496b3a","6a0d18ca6b133c23bd4a9bda","6a0d20404eb668c5894cf4a1","prolific","","","","","","","","F11","F11T","11","Audio item F11","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F11T_audio.webm","7","6","6","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F15T_audio.webm","null","audio-keyboard-response","27","2.1.1","243329","3hga2tf0","1","accent_credibility_four_speakers","69fcdde477ff2e92ab496b3a","6a0d18ca6b133c23bd4a9bda","6a0d20404eb668c5894cf4a1","prolific","","","","","","","","F15","F15T","15","Audio item F15","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F15T_audio.webm","","","","","","",""
"truth_judgment","8520","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","8","html-slider-response","28","2.1.0","251852","3hga2tf0","1","accent_credibility_four_speakers","69fcdde477ff2e92ab496b3a","6a0d18ca6b133c23bd4a9bda","6a0d20404eb668c5894cf4a1","prolific","","","","","","","","F15","F15T","15","Audio item F15","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F15T_audio.webm","7","8","8","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_1/ha77v84840_1T_audio.webm","null","audio-keyboard-response","29","2.1.1","258336","3hga2tf0","1","accent_credibility_four_speakers","69fcdde477ff2e92ab496b3a","6a0d18ca6b133c23bd4a9bda","6a0d20404eb668c5894cf4a1","prolific","","","","","","","","1","1T","1","Audio item 1","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_1T_audio.webm","","","","","","",""
"truth_judgment","3359","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","8","html-slider-response","30","2.1.0","261699","3hga2tf0","1","accent_credibility_four_speakers","69fcdde477ff2e92ab496b3a","6a0d18ca6b133c23bd4a9bda","6a0d20404eb668c5894cf4a1","prolific","","","","","","","","1","1T","1","Audio item 1","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_1T_audio.webm","7","8","8","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_30F_audio.webm","null","audio-keyboard-response","31","2.1.1","265963","3hga2tf0","1","accent_credibility_four_speakers","69fcdde477ff2e92ab496b3a","6a0d18ca6b133c23bd4a9bda","6a0d20404eb668c5894cf4a1","prolific","","","","","","","","30","30F","30","Audio item 30","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_30F_audio.webm","","","","","","",""
"truth_judgment","5333","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","8","html-slider-response","32","2.1.0","271298","3hga2tf0","1","accent_credibility_four_speakers","69fcdde477ff2e92ab496b3a","6a0d18ca6b133c23bd4a9bda","6a0d20404eb668c5894cf4a1","prolific","","","","","","","","30","30F","30","Audio item 30","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_30F_audio.webm","7","8","8","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_1/ha77v84840_17F_audio.webm","null","audio-keyboard-response","33","2.1.1","275563","3hga2tf0","1","accent_credibility_four_speakers","69fcdde477ff2e92ab496b3a","6a0d18ca6b133c23bd4a9bda","6a0d20404eb668c5894cf4a1","prolific","","","","","","","","17","17F","17","Audio item 17","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_17F_audio.webm","","","","","","",""
