"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","3728","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","3753","vha4amcp","3","accent_credibility_four_speakers","6824d53b2584274c9b13924e","6a0d18ca6b133c23bd4a9bda","6a0d1fc3361fee267024c4f5","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","4296","vha4amcp","3","accent_credibility_four_speakers","6824d53b2584274c9b13924e","6a0d18ca6b133c23bd4a9bda","6a0d1fc3361fee267024c4f5","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","66846","","","instructions","3","2.1.0","71144","vha4amcp","3","accent_credibility_four_speakers","6824d53b2584274c9b13924e","6a0d18ca6b133c23bd4a9bda","6a0d1fc3361fee267024c4f5","prolific","","","","","","","[{""page_index"":0,""viewing_time"":4727},{""page_index"":1,""viewing_time"":7240},{""page_index"":2,""viewing_time"":15638},{""page_index"":3,""viewing_time"":14426},{""page_index"":4,""viewing_time"":24816}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","13069","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","136668","vha4amcp","3","accent_credibility_four_speakers","6824d53b2584274c9b13924e","6a0d18ca6b133c23bd4a9bda","6a0d1fc3361fee267024c4f5","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","142991","vha4amcp","3","accent_credibility_four_speakers","6824d53b2584274c9b13924e","6a0d18ca6b133c23bd4a9bda","6a0d1fc3361fee267024c4f5","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","4718","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","11","2.1.0","147751","vha4amcp","3","accent_credibility_four_speakers","6824d53b2584274c9b13924e","6a0d18ca6b133c23bd4a9bda","6a0d1fc3361fee267024c4f5","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","14","14","0","14","definitely false","definitely true"
"practice_complete","2837","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","150591","vha4amcp","3","accent_credibility_four_speakers","6824d53b2584274c9b13924e","6a0d18ca6b133c23bd4a9bda","6a0d1fc3361fee267024c4f5","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F5F_audio.webm","null","audio-keyboard-response","13","2.1.1","154259","vha4amcp","3","accent_credibility_four_speakers","6824d53b2584274c9b13924e","6a0d18ca6b133c23bd4a9bda","6a0d1fc3361fee267024c4f5","prolific","","","","","","","","F5","F5F","5","Audio item F5","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F5F_audio.webm","","","","","","",""
"truth_judgment","4070","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","10","html-slider-response","14","2.1.0","158331","vha4amcp","3","accent_credibility_four_speakers","6824d53b2584274c9b13924e","6a0d18ca6b133c23bd4a9bda","6a0d1fc3361fee267024c4f5","prolific","","","","","","","","F5","F5F","5","Audio item F5","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F5F_audio.webm","7","10","10","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_38F_audio.webm","null","audio-keyboard-response","15","2.1.1","162650","vha4amcp","3","accent_credibility_four_speakers","6824d53b2584274c9b13924e","6a0d18ca6b133c23bd4a9bda","6a0d1fc3361fee267024c4f5","prolific","","","","","","","","38","38F","38","Audio item 38","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_38F_audio.webm","","","","","","",""
"truth_judgment","4721","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","4","html-slider-response","16","2.1.0","167374","vha4amcp","3","accent_credibility_four_speakers","6824d53b2584274c9b13924e","6a0d18ca6b133c23bd4a9bda","6a0d1fc3361fee267024c4f5","prolific","","","","","","","","38","38F","38","Audio item 38","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_38F_audio.webm","7","4","4","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F16F_audio.webm","null","audio-keyboard-response","17","2.1.1","174569","vha4amcp","3","accent_credibility_four_speakers","6824d53b2584274c9b13924e","6a0d18ca6b133c23bd4a9bda","6a0d1fc3361fee267024c4f5","prolific","","","","","","","","F16","F16F","16","Audio item F16","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F16F_audio.webm","","","","","","",""
"truth_judgment","4540","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","13","html-slider-response","18","2.1.0","179110","vha4amcp","3","accent_credibility_four_speakers","6824d53b2584274c9b13924e","6a0d18ca6b133c23bd4a9bda","6a0d1fc3361fee267024c4f5","prolific","","","","","","","","F16","F16F","16","Audio item F16","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F16F_audio.webm","7","13","13","0","14","definitely false","definitely true"
