"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","16577","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","16590","10jr5wk9","2","accent_credibility_four_speakers","69c02bc3dbf078280681849a","6a0d18ca6b133c23bd4a9bda","6a0d256a6a607dc0db78c7bd","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","17088","10jr5wk9","2","accent_credibility_four_speakers","69c02bc3dbf078280681849a","6a0d18ca6b133c23bd4a9bda","6a0d256a6a607dc0db78c7bd","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","82001","","","instructions","3","2.1.0","99091","10jr5wk9","2","accent_credibility_four_speakers","69c02bc3dbf078280681849a","6a0d18ca6b133c23bd4a9bda","6a0d256a6a607dc0db78c7bd","prolific","","","","","","","[{""page_index"":0,""viewing_time"":8286},{""page_index"":1,""viewing_time"":7594},{""page_index"":2,""viewing_time"":6884},{""page_index"":3,""viewing_time"":6358},{""page_index"":4,""viewing_time"":52878}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","4928","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","144801","10jr5wk9","2","accent_credibility_four_speakers","69c02bc3dbf078280681849a","6a0d18ca6b133c23bd4a9bda","6a0d256a6a607dc0db78c7bd","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","149677","10jr5wk9","2","accent_credibility_four_speakers","69c02bc3dbf078280681849a","6a0d18ca6b133c23bd4a9bda","6a0d256a6a607dc0db78c7bd","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","4763","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","0","html-slider-response","11","2.1.0","154446","10jr5wk9","2","accent_credibility_four_speakers","69c02bc3dbf078280681849a","6a0d18ca6b133c23bd4a9bda","6a0d256a6a607dc0db78c7bd","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","0","0","0","14","definitely false","definitely true"
"practice_complete","2966","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","157415","10jr5wk9","2","accent_credibility_four_speakers","69c02bc3dbf078280681849a","6a0d18ca6b133c23bd4a9bda","6a0d256a6a607dc0db78c7bd","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_3F_audio.webm","null","audio-keyboard-response","13","2.1.1","162276","10jr5wk9","2","accent_credibility_four_speakers","69c02bc3dbf078280681849a","6a0d18ca6b133c23bd4a9bda","6a0d256a6a607dc0db78c7bd","prolific","","","","","","","","3","3F","3","Audio item 3","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_3F_audio.webm","","","","","","",""
"truth_judgment","3716","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","12","html-slider-response","14","2.1.0","165995","10jr5wk9","2","accent_credibility_four_speakers","69c02bc3dbf078280681849a","6a0d18ca6b133c23bd4a9bda","6a0d256a6a607dc0db78c7bd","prolific","","","","","","","","3","3F","3","Audio item 3","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_3F_audio.webm","7","12","12","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_18T_audio.webm","null","audio-keyboard-response","15","2.1.1","170506","10jr5wk9","2","accent_credibility_four_speakers","69c02bc3dbf078280681849a","6a0d18ca6b133c23bd4a9bda","6a0d256a6a607dc0db78c7bd","prolific","","","","","","","","18","18T","18","Audio item 18","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_18T_audio.webm","","","","","","",""
"truth_judgment","4045","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","2","html-slider-response","16","2.1.0","174556","10jr5wk9","2","accent_credibility_four_speakers","69c02bc3dbf078280681849a","6a0d18ca6b133c23bd4a9bda","6a0d256a6a607dc0db78c7bd","prolific","","","","","","","","18","18T","18","Audio item 18","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_18T_audio.webm","7","2","2","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F14T_audio.webm","null","audio-keyboard-response","17","2.1.1","179236","10jr5wk9","2","accent_credibility_four_speakers","69c02bc3dbf078280681849a","6a0d18ca6b133c23bd4a9bda","6a0d256a6a607dc0db78c7bd","prolific","","","","","","","","F14","F14T","14","Audio item F14","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F14T_audio.webm","","","","","","",""
"truth_judgment","5015","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","2","html-slider-response","18","2.1.0","184255","10jr5wk9","2","accent_credibility_four_speakers","69c02bc3dbf078280681849a","6a0d18ca6b133c23bd4a9bda","6a0d256a6a607dc0db78c7bd","prolific","","","","","","","","F14","F14T","14","Audio item F14","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F14T_audio.webm","7","2","2","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_35T_audio.webm","null","audio-keyboard-response","19","2.1.1","189535","10jr5wk9","2","accent_credibility_four_speakers","69c02bc3dbf078280681849a","6a0d18ca6b133c23bd4a9bda","6a0d256a6a607dc0db78c7bd","prolific","","","","","","","","35","35T","35","Audio item 35","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_35T_audio.webm","","","","","","",""
"truth_judgment","2690","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","20","2.1.0","192227","10jr5wk9","2","accent_credibility_four_speakers","69c02bc3dbf078280681849a","6a0d18ca6b133c23bd4a9bda","6a0d256a6a607dc0db78c7bd","prolific","","","","","","","","35","35T","35","Audio item 35","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_35T_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F2F_audio.webm","null","audio-keyboard-response","21","2.1.1","198055","10jr5wk9","2","accent_credibility_four_speakers","69c02bc3dbf078280681849a","6a0d18ca6b133c23bd4a9bda","6a0d256a6a607dc0db78c7bd","prolific","","","","","","","","F2","F2F","2","Audio item F2","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F2F_audio.webm","","","","","","",""
"truth_judgment","3472","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","22","2.1.0","201529","10jr5wk9","2","accent_credibility_four_speakers","69c02bc3dbf078280681849a","6a0d18ca6b133c23bd4a9bda","6a0d256a6a607dc0db78c7bd","prolific","","","","","","","","F2","F2F","2","Audio item F2","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F2F_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_42T_audio.webm","null","audio-keyboard-response","23","2.1.1","206327","10jr5wk9","2","accent_credibility_four_speakers","69c02bc3dbf078280681849a","6a0d18ca6b133c23bd4a9bda","6a0d256a6a607dc0db78c7bd","prolific","","","","","","","","42","42T","42","Audio item 42","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_42T_audio.webm","","","","","","",""
"truth_judgment","4705","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","12","html-slider-response","24","2.1.0","211035","10jr5wk9","2","accent_credibility_four_speakers","69c02bc3dbf078280681849a","6a0d18ca6b133c23bd4a9bda","6a0d256a6a607dc0db78c7bd","prolific","","","","","","","","42","42T","42","Audio item 42","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_42T_audio.webm","7","12","12","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_31T_audio.webm","null","audio-keyboard-response","25","2.1.1","214587","10jr5wk9","2","accent_credibility_four_speakers","69c02bc3dbf078280681849a","6a0d18ca6b133c23bd4a9bda","6a0d256a6a607dc0db78c7bd","prolific","","","","","","","","31","31T","31","Audio item 31","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_31T_audio.webm","","","","","","",""
"truth_judgment","3153","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","13","html-slider-response","26","2.1.0","217744","10jr5wk9","2","accent_credibility_four_speakers","69c02bc3dbf078280681849a","6a0d18ca6b133c23bd4a9bda","6a0d256a6a607dc0db78c7bd","prolific","","","","","","","","31","31T","31","Audio item 31","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_31T_audio.webm","7","13","13","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_29F_audio.webm","null","audio-keyboard-response","27","2.1.1","223266","10jr5wk9","2","accent_credibility_four_speakers","69c02bc3dbf078280681849a","6a0d18ca6b133c23bd4a9bda","6a0d256a6a607dc0db78c7bd","prolific","","","","","","","","29","29F","29","Audio item 29","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_29F_audio.webm","","","","","","",""
"truth_judgment","5513","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","1","html-slider-response","28","2.1.0","228782","10jr5wk9","2","accent_credibility_four_speakers","69c02bc3dbf078280681849a","6a0d18ca6b133c23bd4a9bda","6a0d256a6a607dc0db78c7bd","prolific","","","","","","","","29","29F","29","Audio item 29","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_29F_audio.webm","7","1","1","0","14","definitely false","definitely true"
