"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","7385","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","7392","e2hovf5v","1","accent_credibility_four_speakers","6994e4cb0f3e1655a5eb7978","6a0d18ca6b133c23bd4a9bda","6a0d26cc899041ea8ce83d0d","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","7763","e2hovf5v","1","accent_credibility_four_speakers","6994e4cb0f3e1655a5eb7978","6a0d18ca6b133c23bd4a9bda","6a0d26cc899041ea8ce83d0d","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","35836","","","instructions","3","2.1.0","43600","e2hovf5v","1","accent_credibility_four_speakers","6994e4cb0f3e1655a5eb7978","6a0d18ca6b133c23bd4a9bda","6a0d26cc899041ea8ce83d0d","prolific","","","","","","","[{""page_index"":0,""viewing_time"":10505},{""page_index"":1,""viewing_time"":14986},{""page_index"":2,""viewing_time"":2897},{""page_index"":3,""viewing_time"":3582},{""page_index"":4,""viewing_time"":3866}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","7388","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","89614","e2hovf5v","1","accent_credibility_four_speakers","6994e4cb0f3e1655a5eb7978","6a0d18ca6b133c23bd4a9bda","6a0d26cc899041ea8ce83d0d","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","94569","e2hovf5v","1","accent_credibility_four_speakers","6994e4cb0f3e1655a5eb7978","6a0d18ca6b133c23bd4a9bda","6a0d26cc899041ea8ce83d0d","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","4290","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","10","html-slider-response","11","2.1.0","98864","e2hovf5v","1","accent_credibility_four_speakers","6994e4cb0f3e1655a5eb7978","6a0d18ca6b133c23bd4a9bda","6a0d26cc899041ea8ce83d0d","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","10","10","0","14","definitely false","definitely true"
"practice_complete","2013","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","100879","e2hovf5v","1","accent_credibility_four_speakers","6994e4cb0f3e1655a5eb7978","6a0d18ca6b133c23bd4a9bda","6a0d26cc899041ea8ce83d0d","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/native_1/ha77v84840_33F_audio.webm","null","audio-keyboard-response","13","2.1.1","104777","e2hovf5v","1","accent_credibility_four_speakers","6994e4cb0f3e1655a5eb7978","6a0d18ca6b133c23bd4a9bda","6a0d26cc899041ea8ce83d0d","prolific","","","","","","","","33","33F","33","Audio item 33","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_33F_audio.webm","","","","","","",""
"truth_judgment","2764","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","9","html-slider-response","14","2.1.0","107543","e2hovf5v","1","accent_credibility_four_speakers","6994e4cb0f3e1655a5eb7978","6a0d18ca6b133c23bd4a9bda","6a0d26cc899041ea8ce83d0d","prolific","","","","","","","","33","33F","33","Audio item 33","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_33F_audio.webm","7","9","9","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_1/ha77v84840_9F_audio.webm","null","audio-keyboard-response","15","2.1.1","111379","e2hovf5v","1","accent_credibility_four_speakers","6994e4cb0f3e1655a5eb7978","6a0d18ca6b133c23bd4a9bda","6a0d26cc899041ea8ce83d0d","prolific","","","","","","","","9","9F","9","Audio item 9","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_9F_audio.webm","","","","","","",""
"truth_judgment","5517","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","2","html-slider-response","16","2.1.0","116898","e2hovf5v","1","accent_credibility_four_speakers","6994e4cb0f3e1655a5eb7978","6a0d18ca6b133c23bd4a9bda","6a0d26cc899041ea8ce83d0d","prolific","","","","","","","","9","9F","9","Audio item 9","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_9F_audio.webm","7","2","2","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_15F_audio.webm","null","audio-keyboard-response","17","2.1.1","123614","e2hovf5v","1","accent_credibility_four_speakers","6994e4cb0f3e1655a5eb7978","6a0d18ca6b133c23bd4a9bda","6a0d26cc899041ea8ce83d0d","prolific","","","","","","","","15","15F","15","Audio item 15","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_15F_audio.webm","","","","","","",""
"truth_judgment","2186","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","8","html-slider-response","18","2.1.0","125802","e2hovf5v","1","accent_credibility_four_speakers","6994e4cb0f3e1655a5eb7978","6a0d18ca6b133c23bd4a9bda","6a0d26cc899041ea8ce83d0d","prolific","","","","","","","","15","15F","15","Audio item 15","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_15F_audio.webm","7","8","8","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_46T_audio.webm","null","audio-keyboard-response","19","2.1.1","130248","e2hovf5v","1","accent_credibility_four_speakers","6994e4cb0f3e1655a5eb7978","6a0d18ca6b133c23bd4a9bda","6a0d26cc899041ea8ce83d0d","prolific","","","","","","","","46","46T","46","Audio item 46","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_46T_audio.webm","","","","","","",""
