"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","9331","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","9344","09zzerpb","4","accent_credibility_four_speakers","5f1e7c6768c1bb8491f39191","6a0d18ca6b133c23bd4a9bda","6a0d2035bd2db8c128c2f571","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","9800","09zzerpb","4","accent_credibility_four_speakers","5f1e7c6768c1bb8491f39191","6a0d18ca6b133c23bd4a9bda","6a0d2035bd2db8c128c2f571","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","27824","","","instructions","3","2.1.0","37625","09zzerpb","4","accent_credibility_four_speakers","5f1e7c6768c1bb8491f39191","6a0d18ca6b133c23bd4a9bda","6a0d2035bd2db8c128c2f571","prolific","","","","","","","[{""page_index"":0,""viewing_time"":3909},{""page_index"":1,""viewing_time"":5766},{""page_index"":2,""viewing_time"":4752},{""page_index"":3,""viewing_time"":6832},{""page_index"":4,""viewing_time"":6566}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","2715","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","68225","09zzerpb","4","accent_credibility_four_speakers","5f1e7c6768c1bb8491f39191","6a0d18ca6b133c23bd4a9bda","6a0d2035bd2db8c128c2f571","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","72884","09zzerpb","4","accent_credibility_four_speakers","5f1e7c6768c1bb8491f39191","6a0d18ca6b133c23bd4a9bda","6a0d2035bd2db8c128c2f571","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","3356","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","10","html-slider-response","11","2.1.0","76242","09zzerpb","4","accent_credibility_four_speakers","5f1e7c6768c1bb8491f39191","6a0d18ca6b133c23bd4a9bda","6a0d2035bd2db8c128c2f571","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","10","10","0","14","definitely false","definitely true"
"practice_complete","1348","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","77592","09zzerpb","4","accent_credibility_four_speakers","5f1e7c6768c1bb8491f39191","6a0d18ca6b133c23bd4a9bda","6a0d2035bd2db8c128c2f571","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F2F_audio.webm","null","audio-keyboard-response","13","2.1.1","83417","09zzerpb","4","accent_credibility_four_speakers","5f1e7c6768c1bb8491f39191","6a0d18ca6b133c23bd4a9bda","6a0d2035bd2db8c128c2f571","prolific","","","","","","","","F2","F2F","2","Audio item F2","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F2F_audio.webm","","","","","","",""
"truth_judgment","2606","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","14","2.1.0","86025","09zzerpb","4","accent_credibility_four_speakers","5f1e7c6768c1bb8491f39191","6a0d18ca6b133c23bd4a9bda","6a0d2035bd2db8c128c2f571","prolific","","","","","","","","F2","F2F","2","Audio item F2","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F2F_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_1/ha77v84840_34T_audio.webm","null","audio-keyboard-response","15","2.1.1","89987","09zzerpb","4","accent_credibility_four_speakers","5f1e7c6768c1bb8491f39191","6a0d18ca6b133c23bd4a9bda","6a0d2035bd2db8c128c2f571","prolific","","","","","","","","34","34T","34","Audio item 34","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_34T_audio.webm","","","","","","",""
"truth_judgment","2436","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","16","2.1.0","92425","09zzerpb","4","accent_credibility_four_speakers","5f1e7c6768c1bb8491f39191","6a0d18ca6b133c23bd4a9bda","6a0d2035bd2db8c128c2f571","prolific","","","","","","","","34","34T","34","Audio item 34","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_34T_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_37F_audio.webm","null","audio-keyboard-response","17","2.1.1","96329","09zzerpb","4","accent_credibility_four_speakers","5f1e7c6768c1bb8491f39191","6a0d18ca6b133c23bd4a9bda","6a0d2035bd2db8c128c2f571","prolific","","","","","","","","37","37F","37","Audio item 37","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_37F_audio.webm","","","","","","",""
"truth_judgment","4530","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","4","html-slider-response","18","2.1.0","100860","09zzerpb","4","accent_credibility_four_speakers","5f1e7c6768c1bb8491f39191","6a0d18ca6b133c23bd4a9bda","6a0d2035bd2db8c128c2f571","prolific","","","","","","","","37","37F","37","Audio item 37","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_37F_audio.webm","7","4","4","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_1/ha77v84840_26F_audio.webm","null","audio-keyboard-response","19","2.1.1","105961","09zzerpb","4","accent_credibility_four_speakers","5f1e7c6768c1bb8491f39191","6a0d18ca6b133c23bd4a9bda","6a0d2035bd2db8c128c2f571","prolific","","","","","","","","26","26F","26","Audio item 26","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_26F_audio.webm","","","","","","",""
"truth_judgment","8263","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","4","html-slider-response","20","2.1.0","114225","09zzerpb","4","accent_credibility_four_speakers","5f1e7c6768c1bb8491f39191","6a0d18ca6b133c23bd4a9bda","6a0d2035bd2db8c128c2f571","prolific","","","","","","","","26","26F","26","Audio item 26","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_26F_audio.webm","7","4","4","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_1/ha77v84840_46F_audio.webm","null","audio-keyboard-response","21","2.1.1","118905","09zzerpb","4","accent_credibility_four_speakers","5f1e7c6768c1bb8491f39191","6a0d18ca6b133c23bd4a9bda","6a0d2035bd2db8c128c2f571","prolific","","","","","","","","46","46F","46","Audio item 46","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_46F_audio.webm","","","","","","",""
