"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","13428","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","13436","1umtp7xg","1","accent_credibility_four_speakers","69bdca07546f10a64f2bddd5","6a0d18ca6b133c23bd4a9bda","6a0d1ec035f3a0f9fa1f85aa","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","13868","1umtp7xg","1","accent_credibility_four_speakers","69bdca07546f10a64f2bddd5","6a0d18ca6b133c23bd4a9bda","6a0d1ec035f3a0f9fa1f85aa","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","99947","","","instructions","3","2.1.0","113845","1umtp7xg","1","accent_credibility_four_speakers","69bdca07546f10a64f2bddd5","6a0d18ca6b133c23bd4a9bda","6a0d1ec035f3a0f9fa1f85aa","prolific","","","","","","","[{""page_index"":0,""viewing_time"":58696},{""page_index"":1,""viewing_time"":6500},{""page_index"":2,""viewing_time"":6884},{""page_index"":3,""viewing_time"":16700},{""page_index"":4,""viewing_time"":11167}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","22830","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","171289","1umtp7xg","1","accent_credibility_four_speakers","69bdca07546f10a64f2bddd5","6a0d18ca6b133c23bd4a9bda","6a0d1ec035f3a0f9fa1f85aa","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","175956","1umtp7xg","1","accent_credibility_four_speakers","69bdca07546f10a64f2bddd5","6a0d18ca6b133c23bd4a9bda","6a0d1ec035f3a0f9fa1f85aa","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","6395","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","10","html-slider-response","11","2.1.0","182356","1umtp7xg","1","accent_credibility_four_speakers","69bdca07546f10a64f2bddd5","6a0d18ca6b133c23bd4a9bda","6a0d1ec035f3a0f9fa1f85aa","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","10","10","0","14","definitely false","definitely true"
"practice_complete","2215","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","184572","1umtp7xg","1","accent_credibility_four_speakers","69bdca07546f10a64f2bddd5","6a0d18ca6b133c23bd4a9bda","6a0d1ec035f3a0f9fa1f85aa","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_39T_audio.webm","null","audio-keyboard-response","13","2.1.1","189555","1umtp7xg","1","accent_credibility_four_speakers","69bdca07546f10a64f2bddd5","6a0d18ca6b133c23bd4a9bda","6a0d1ec035f3a0f9fa1f85aa","prolific","","","","","","","","39","39T","39","Audio item 39","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_39T_audio.webm","","","","","","",""
"truth_judgment","3833","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","4","html-slider-response","14","2.1.0","193391","1umtp7xg","1","accent_credibility_four_speakers","69bdca07546f10a64f2bddd5","6a0d18ca6b133c23bd4a9bda","6a0d1ec035f3a0f9fa1f85aa","prolific","","","","","","","","39","39T","39","Audio item 39","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_39T_audio.webm","7","4","4","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_11T_audio.webm","null","audio-keyboard-response","15","2.1.1","200953","1umtp7xg","1","accent_credibility_four_speakers","69bdca07546f10a64f2bddd5","6a0d18ca6b133c23bd4a9bda","6a0d1ec035f3a0f9fa1f85aa","prolific","","","","","","","","11","11T","11","Audio item 11","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_11T_audio.webm","","","","","","",""
"truth_judgment","2351","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","5","html-slider-response","16","2.1.0","203307","1umtp7xg","1","accent_credibility_four_speakers","69bdca07546f10a64f2bddd5","6a0d18ca6b133c23bd4a9bda","6a0d1ec035f3a0f9fa1f85aa","prolific","","","","","","","","11","11T","11","Audio item 11","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_11T_audio.webm","7","5","5","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_43T_audio.webm","null","audio-keyboard-response","17","2.1.1","207928","1umtp7xg","1","accent_credibility_four_speakers","69bdca07546f10a64f2bddd5","6a0d18ca6b133c23bd4a9bda","6a0d1ec035f3a0f9fa1f85aa","prolific","","","","","","","","43","43T","43","Audio item 43","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_43T_audio.webm","","","","","","",""
"truth_judgment","3327","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","10","html-slider-response","18","2.1.0","211257","1umtp7xg","1","accent_credibility_four_speakers","69bdca07546f10a64f2bddd5","6a0d18ca6b133c23bd4a9bda","6a0d1ec035f3a0f9fa1f85aa","prolific","","","","","","","","43","43T","43","Audio item 43","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_43T_audio.webm","7","10","10","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F2F_audio.webm","null","audio-keyboard-response","19","2.1.1","217081","1umtp7xg","1","accent_credibility_four_speakers","69bdca07546f10a64f2bddd5","6a0d18ca6b133c23bd4a9bda","6a0d1ec035f3a0f9fa1f85aa","prolific","","","","","","","","F2","F2F","2","Audio item F2","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F2F_audio.webm","","","","","","",""
"truth_judgment","3940","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","20","2.1.0","221024","1umtp7xg","1","accent_credibility_four_speakers","69bdca07546f10a64f2bddd5","6a0d18ca6b133c23bd4a9bda","6a0d1ec035f3a0f9fa1f85aa","prolific","","","","","","","","F2","F2F","2","Audio item F2","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F2F_audio.webm","7","14","14","0","14","definitely false","definitely true"
