"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","5260","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","5264","vd29puab","4","accent_credibility_four_speakers","69ab64f9b087c77cfaa36732","6a0d18ca6b133c23bd4a9bda","6a0d1f46282b4b976e319f29","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","7210","vd29puab","4","accent_credibility_four_speakers","69ab64f9b087c77cfaa36732","6a0d18ca6b133c23bd4a9bda","6a0d1f46282b4b976e319f29","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","30210","","","instructions","3","2.1.0","37420","vd29puab","4","accent_credibility_four_speakers","69ab64f9b087c77cfaa36732","6a0d18ca6b133c23bd4a9bda","6a0d1f46282b4b976e319f29","prolific","","","","","","","[{""page_index"":0,""viewing_time"":2382},{""page_index"":1,""viewing_time"":3474},{""page_index"":2,""viewing_time"":18504},{""page_index"":3,""viewing_time"":2242},{""page_index"":4,""viewing_time"":3607}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","2401","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","148417","vd29puab","4","accent_credibility_four_speakers","69ab64f9b087c77cfaa36732","6a0d18ca6b133c23bd4a9bda","6a0d1f46282b4b976e319f29","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","153036","vd29puab","4","accent_credibility_four_speakers","69ab64f9b087c77cfaa36732","6a0d18ca6b133c23bd4a9bda","6a0d1f46282b4b976e319f29","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","5448","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","0","html-slider-response","11","2.1.0","158488","vd29puab","4","accent_credibility_four_speakers","69ab64f9b087c77cfaa36732","6a0d18ca6b133c23bd4a9bda","6a0d1f46282b4b976e319f29","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","0","0","0","14","definitely false","definitely true"
"practice_complete","1314","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","159804","vd29puab","4","accent_credibility_four_speakers","69ab64f9b087c77cfaa36732","6a0d18ca6b133c23bd4a9bda","6a0d1f46282b4b976e319f29","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F16T_audio.webm","null","audio-keyboard-response","13","2.1.1","165388","vd29puab","4","accent_credibility_four_speakers","69ab64f9b087c77cfaa36732","6a0d18ca6b133c23bd4a9bda","6a0d1f46282b4b976e319f29","prolific","","","","","","","","F16","F16T","16","Audio item F16","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F16T_audio.webm","","","","","","",""
"truth_judgment","6310","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","11","html-slider-response","14","2.1.0","171700","vd29puab","4","accent_credibility_four_speakers","69ab64f9b087c77cfaa36732","6a0d18ca6b133c23bd4a9bda","6a0d1f46282b4b976e319f29","prolific","","","","","","","","F16","F16T","16","Audio item F16","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F16T_audio.webm","7","11","11","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_1F_audio.webm","null","audio-keyboard-response","15","2.1.1","177037","vd29puab","4","accent_credibility_four_speakers","69ab64f9b087c77cfaa36732","6a0d18ca6b133c23bd4a9bda","6a0d1f46282b4b976e319f29","prolific","","","","","","","","1","1F","1","Audio item 1","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_1F_audio.webm","","","","","","",""
