"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","2803","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","2824","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","3763","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","59397","","","instructions","3","2.1.0","63161","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","","","","","","[{""page_index"":0,""viewing_time"":13346},{""page_index"":1,""viewing_time"":16095},{""page_index"":2,""viewing_time"":12451},{""page_index"":3,""viewing_time"":14307},{""page_index"":4,""viewing_time"":3198}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","10380","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","101259","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","105935","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","5655","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","7","html-slider-response","11","2.1.0","111597","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","7","7","0","14","definitely false","definitely true"
"practice_complete","4917","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","116516","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F15T_audio.webm","null","audio-keyboard-response","13","2.1.1","123955","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","","","","","","","F15","F15T","15","Audio item F15","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F15T_audio.webm","","","","","","",""
"truth_judgment","4860","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","8","html-slider-response","14","2.1.0","128817","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","","","","","","","F15","F15T","15","Audio item F15","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F15T_audio.webm","7","8","8","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_1/ha77v84840_45T_audio.webm","null","audio-keyboard-response","15","2.1.1","134521","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","","","","","","","45","45T","45","Audio item 45","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_45T_audio.webm","","","","","","",""
"truth_judgment","3429","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","9","html-slider-response","16","2.1.0","137952","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","","","","","","","45","45T","45","Audio item 45","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_45T_audio.webm","7","9","9","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_26T_audio.webm","null","audio-keyboard-response","17","2.1.1","139630","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","","","","","","","26","26T","26","Audio item 26","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_26T_audio.webm","","","","","","",""
"truth_judgment","3867","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","7","html-slider-response","18","2.1.0","143499","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","","","","","","","26","26T","26","Audio item 26","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_26T_audio.webm","7","7","7","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_39F_audio.webm","null","audio-keyboard-response","19","2.1.1","148120","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","","","","","","","39","39F","39","Audio item 39","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_39F_audio.webm","","","","","","",""
"truth_judgment","2325","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","8","html-slider-response","20","2.1.0","150447","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","","","","","","","39","39F","39","Audio item 39","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_39F_audio.webm","7","8","8","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_46T_audio.webm","null","audio-keyboard-response","21","2.1.1","154888","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","","","","","","","46","46T","46","Audio item 46","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_46T_audio.webm","","","","","","",""
"truth_judgment","3433","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","10","html-slider-response","22","2.1.0","158322","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","","","","","","","46","46T","46","Audio item 46","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_46T_audio.webm","7","10","10","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_11F_audio.webm","null","audio-keyboard-response","23","2.1.1","166365","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","","","","","","","11","11F","11","Audio item 11","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_11F_audio.webm","","","","","","",""
"truth_judgment","3476","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","7","html-slider-response","24","2.1.0","169843","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","","","","","","","11","11F","11","Audio item 11","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_11F_audio.webm","7","7","7","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F7F_audio.webm","null","audio-keyboard-response","25","2.1.1","175543","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","","","","","","","F7","F7F","7","Audio item F7","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F7F_audio.webm","","","","","","",""
"truth_judgment","3268","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","4","html-slider-response","26","2.1.0","178813","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","","","","","","","F7","F7F","7","Audio item F7","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F7F_audio.webm","7","4","4","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_1/ha77v84840_9F_audio.webm","null","audio-keyboard-response","27","2.1.1","182652","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","","","","","","","9","9F","9","Audio item 9","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_9F_audio.webm","","","","","","",""
"truth_judgment","2250","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","4","html-slider-response","28","2.1.0","184903","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","","","","","","","9","9F","9","Audio item 9","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_9F_audio.webm","7","4","4","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_30T_audio.webm","null","audio-keyboard-response","29","2.1.1","189223","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","","","","","","","30","30T","30","Audio item 30","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_30T_audio.webm","","","","","","",""
"truth_judgment","2878","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","9","html-slider-response","30","2.1.0","192103","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","","","","","","","30","30T","30","Audio item 30","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_30T_audio.webm","7","9","9","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_6F_audio.webm","null","audio-keyboard-response","31","2.1.1","197324","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","","","","","","","6","6F","6","Audio item 6","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_6F_audio.webm","","","","","","",""
"truth_judgment","2319","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","10","html-slider-response","32","2.1.0","199644","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","","","","","","","6","6F","6","Audio item 6","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_6F_audio.webm","7","10","10","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_48T_audio.webm","null","audio-keyboard-response","33","2.1.1","204086","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","","","","","","","48","48T","48","Audio item 48","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_48T_audio.webm","","","","","","",""
"truth_judgment","2023","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","10","html-slider-response","34","2.1.0","206111","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","","","","","","","48","48T","48","Audio item 48","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_48T_audio.webm","7","10","10","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_1/ha77v84840_5T_audio.webm","null","audio-keyboard-response","35","2.1.1","210848","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","","","","","","","5","5T","5","Audio item 5","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_5T_audio.webm","","","","","","",""
"truth_judgment","2475","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","8","html-slider-response","36","2.1.0","213326","pwbtxe93","1","accent_credibility_four_speakers","69feb32a59de0ea3321b8113","6a0d18ca6b133c23bd4a9bda","6a0d22a9db755d56d3e0d98a","prolific","","","","","","","","5","5T","5","Audio item 5","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_5T_audio.webm","7","8","8","0","14","definitely false","definitely true"
