"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","15985","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","15995","54mpql4s","4","accent_credibility_four_speakers","695be81cff5933e82a967d04","6a0d18ca6b133c23bd4a9bda","6a0d1ee034ac54fb484df361","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","16484","54mpql4s","4","accent_credibility_four_speakers","695be81cff5933e82a967d04","6a0d18ca6b133c23bd4a9bda","6a0d1ee034ac54fb484df361","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","52765","","","instructions","3","2.1.0","69250","54mpql4s","4","accent_credibility_four_speakers","695be81cff5933e82a967d04","6a0d18ca6b133c23bd4a9bda","6a0d1ee034ac54fb484df361","prolific","","","","","","","[{""page_index"":0,""viewing_time"":6117},{""page_index"":1,""viewing_time"":20484},{""page_index"":2,""viewing_time"":9010},{""page_index"":3,""viewing_time"":9504},{""page_index"":4,""viewing_time"":7650}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","11953","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","107824","54mpql4s","4","accent_credibility_four_speakers","695be81cff5933e82a967d04","6a0d18ca6b133c23bd4a9bda","6a0d1ee034ac54fb484df361","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","112460","54mpql4s","4","accent_credibility_four_speakers","695be81cff5933e82a967d04","6a0d18ca6b133c23bd4a9bda","6a0d1ee034ac54fb484df361","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","5346","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","4","html-slider-response","11","2.1.0","117808","54mpql4s","4","accent_credibility_four_speakers","695be81cff5933e82a967d04","6a0d18ca6b133c23bd4a9bda","6a0d1ee034ac54fb484df361","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","4","4","0","14","definitely false","definitely true"
"practice_complete","1801","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","119610","54mpql4s","4","accent_credibility_four_speakers","695be81cff5933e82a967d04","6a0d18ca6b133c23bd4a9bda","6a0d1ee034ac54fb484df361","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_8F_audio.webm","null","audio-keyboard-response","13","2.1.1","125071","54mpql4s","4","accent_credibility_four_speakers","695be81cff5933e82a967d04","6a0d18ca6b133c23bd4a9bda","6a0d1ee034ac54fb484df361","prolific","","","","","","","","8","8F","8","Audio item 8","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_8F_audio.webm","","","","","","",""
"truth_judgment","3776","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","12","html-slider-response","14","2.1.0","128850","54mpql4s","4","accent_credibility_four_speakers","695be81cff5933e82a967d04","6a0d18ca6b133c23bd4a9bda","6a0d1ee034ac54fb484df361","prolific","","","","","","","","8","8F","8","Audio item 8","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_8F_audio.webm","7","12","12","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_13F_audio.webm","null","audio-keyboard-response","15","2.1.1","134790","54mpql4s","4","accent_credibility_four_speakers","695be81cff5933e82a967d04","6a0d18ca6b133c23bd4a9bda","6a0d1ee034ac54fb484df361","prolific","","","","","","","","13","13F","13","Audio item 13","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_13F_audio.webm","","","","","","",""
"truth_judgment","1588","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","8","html-slider-response","16","2.1.0","136380","54mpql4s","4","accent_credibility_four_speakers","695be81cff5933e82a967d04","6a0d18ca6b133c23bd4a9bda","6a0d1ee034ac54fb484df361","prolific","","","","","","","","13","13F","13","Audio item 13","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_13F_audio.webm","7","8","8","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F8F_audio.webm","null","audio-keyboard-response","17","2.1.1","142211","54mpql4s","4","accent_credibility_four_speakers","695be81cff5933e82a967d04","6a0d18ca6b133c23bd4a9bda","6a0d1ee034ac54fb484df361","prolific","","","","","","","","F8","F8F","8","Audio item F8","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F8F_audio.webm","","","","","","",""
"truth_judgment","2734","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","18","2.1.0","144948","54mpql4s","4","accent_credibility_four_speakers","695be81cff5933e82a967d04","6a0d18ca6b133c23bd4a9bda","6a0d1ee034ac54fb484df361","prolific","","","","","","","","F8","F8F","8","Audio item F8","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F8F_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_45T_audio.webm","null","audio-keyboard-response","19","2.1.1","149381","54mpql4s","4","accent_credibility_four_speakers","695be81cff5933e82a967d04","6a0d18ca6b133c23bd4a9bda","6a0d1ee034ac54fb484df361","prolific","","","","","","","","45","45T","45","Audio item 45","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_45T_audio.webm","","","","","","",""
"truth_judgment","4046","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","10","html-slider-response","20","2.1.0","153430","54mpql4s","4","accent_credibility_four_speakers","695be81cff5933e82a967d04","6a0d18ca6b133c23bd4a9bda","6a0d1ee034ac54fb484df361","prolific","","","","","","","","45","45T","45","Audio item 45","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_45T_audio.webm","7","10","10","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_17F_audio.webm","null","audio-keyboard-response","21","2.1.1","156860","54mpql4s","4","accent_credibility_four_speakers","695be81cff5933e82a967d04","6a0d18ca6b133c23bd4a9bda","6a0d1ee034ac54fb484df361","prolific","","","","","","","","17","17F","17","Audio item 17","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_17F_audio.webm","","","","","","",""
"truth_judgment","4089","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","5","html-slider-response","22","2.1.0","160952","54mpql4s","4","accent_credibility_four_speakers","695be81cff5933e82a967d04","6a0d18ca6b133c23bd4a9bda","6a0d1ee034ac54fb484df361","prolific","","","","","","","","17","17F","17","Audio item 17","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_17F_audio.webm","7","5","5","0","14","definitely false","definitely true"
