"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","18310","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","18327","b73um1q9","4","accent_credibility_four_speakers","6a0cc6cca9e347d4b0603607","6a0d18ca6b133c23bd4a9bda","6a0d1e41d998fda4c4ebfc19","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","18763","b73um1q9","4","accent_credibility_four_speakers","6a0cc6cca9e347d4b0603607","6a0d18ca6b133c23bd4a9bda","6a0d1e41d998fda4c4ebfc19","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","48990","","","instructions","3","2.1.0","67754","b73um1q9","4","accent_credibility_four_speakers","6a0cc6cca9e347d4b0603607","6a0d18ca6b133c23bd4a9bda","6a0d1e41d998fda4c4ebfc19","prolific","","","","","","","[{""page_index"":0,""viewing_time"":18353},{""page_index"":1,""viewing_time"":5385},{""page_index"":2,""viewing_time"":6995},{""page_index"":3,""viewing_time"":6559},{""page_index"":4,""viewing_time"":11698}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","9091","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","118838","b73um1q9","4","accent_credibility_four_speakers","6a0cc6cca9e347d4b0603607","6a0d18ca6b133c23bd4a9bda","6a0d1e41d998fda4c4ebfc19","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","124679","b73um1q9","4","accent_credibility_four_speakers","6a0cc6cca9e347d4b0603607","6a0d18ca6b133c23bd4a9bda","6a0d1e41d998fda4c4ebfc19","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","3545","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","11","2.1.0","128228","b73um1q9","4","accent_credibility_four_speakers","6a0cc6cca9e347d4b0603607","6a0d18ca6b133c23bd4a9bda","6a0d1e41d998fda4c4ebfc19","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","14","14","0","14","definitely false","definitely true"
"practice_complete","2029","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","130260","b73um1q9","4","accent_credibility_four_speakers","6a0cc6cca9e347d4b0603607","6a0d18ca6b133c23bd4a9bda","6a0d1e41d998fda4c4ebfc19","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F5T_audio.webm","null","audio-keyboard-response","13","2.1.1","134399","b73um1q9","4","accent_credibility_four_speakers","6a0cc6cca9e347d4b0603607","6a0d18ca6b133c23bd4a9bda","6a0d1e41d998fda4c4ebfc19","prolific","","","","","","","","F5","F5T","5","Audio item F5","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F5T_audio.webm","","","","","","",""
"truth_judgment","3379","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","0","html-slider-response","14","2.1.0","137781","b73um1q9","4","accent_credibility_four_speakers","6a0cc6cca9e347d4b0603607","6a0d18ca6b133c23bd4a9bda","6a0d1e41d998fda4c4ebfc19","prolific","","","","","","","","F5","F5T","5","Audio item F5","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F5T_audio.webm","7","0","0","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_12T_audio.webm","null","audio-keyboard-response","15","2.1.1","142520","b73um1q9","4","accent_credibility_four_speakers","6a0cc6cca9e347d4b0603607","6a0d18ca6b133c23bd4a9bda","6a0d1e41d998fda4c4ebfc19","prolific","","","","","","","","12","12T","12","Audio item 12","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_12T_audio.webm","","","","","","",""
"truth_judgment","3202","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","0","html-slider-response","16","2.1.0","145725","b73um1q9","4","accent_credibility_four_speakers","6a0cc6cca9e347d4b0603607","6a0d18ca6b133c23bd4a9bda","6a0d1e41d998fda4c4ebfc19","prolific","","","","","","","","12","12T","12","Audio item 12","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_12T_audio.webm","7","0","0","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_35F_audio.webm","null","audio-keyboard-response","17","2.1.1","151239","b73um1q9","4","accent_credibility_four_speakers","6a0cc6cca9e347d4b0603607","6a0d18ca6b133c23bd4a9bda","6a0d1e41d998fda4c4ebfc19","prolific","","","","","","","","35","35F","35","Audio item 35","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_35F_audio.webm","","","","","","",""
"truth_judgment","6657","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","13","html-slider-response","18","2.1.0","157898","b73um1q9","4","accent_credibility_four_speakers","6a0cc6cca9e347d4b0603607","6a0d18ca6b133c23bd4a9bda","6a0d1e41d998fda4c4ebfc19","prolific","","","","","","","","35","35F","35","Audio item 35","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_35F_audio.webm","7","13","13","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_1F_audio.webm","null","audio-keyboard-response","19","2.1.1","163239","b73um1q9","4","accent_credibility_four_speakers","6a0cc6cca9e347d4b0603607","6a0d18ca6b133c23bd4a9bda","6a0d1e41d998fda4c4ebfc19","prolific","","","","","","","","1","1F","1","Audio item 1","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_1F_audio.webm","","","","","","",""
"truth_judgment","3561","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","0","html-slider-response","20","2.1.0","166803","b73um1q9","4","accent_credibility_four_speakers","6a0cc6cca9e347d4b0603607","6a0d18ca6b133c23bd4a9bda","6a0d1e41d998fda4c4ebfc19","prolific","","","","","","","","1","1F","1","Audio item 1","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_1F_audio.webm","7","0","0","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_47T_audio.webm","null","audio-keyboard-response","21","2.1.1","170759","b73um1q9","4","accent_credibility_four_speakers","6a0cc6cca9e347d4b0603607","6a0d18ca6b133c23bd4a9bda","6a0d1e41d998fda4c4ebfc19","prolific","","","","","","","","47","47T","47","Audio item 47","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_47T_audio.webm","","","","","","",""
"truth_judgment","3516","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","22","2.1.0","174278","b73um1q9","4","accent_credibility_four_speakers","6a0cc6cca9e347d4b0603607","6a0d18ca6b133c23bd4a9bda","6a0d1e41d998fda4c4ebfc19","prolific","","","","","","","","47","47T","47","Audio item 47","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_47T_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_19F_audio.webm","null","audio-keyboard-response","23","2.1.1","177469","b73um1q9","4","accent_credibility_four_speakers","6a0cc6cca9e347d4b0603607","6a0d18ca6b133c23bd4a9bda","6a0d1e41d998fda4c4ebfc19","prolific","","","","","","","","19","19F","19","Audio item 19","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_19F_audio.webm","","","","","","",""
"truth_judgment","3839","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","24","2.1.0","181310","b73um1q9","4","accent_credibility_four_speakers","6a0cc6cca9e347d4b0603607","6a0d18ca6b133c23bd4a9bda","6a0d1e41d998fda4c4ebfc19","prolific","","","","","","","","19","19F","19","Audio item 19","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_19F_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_20F_audio.webm","null","audio-keyboard-response","25","2.1.1","185811","b73um1q9","4","accent_credibility_four_speakers","6a0cc6cca9e347d4b0603607","6a0d18ca6b133c23bd4a9bda","6a0d1e41d998fda4c4ebfc19","prolific","","","","","","","","20","20F","20","Audio item 20","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_20F_audio.webm","","","","","","",""
"truth_judgment","3193","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","0","html-slider-response","26","2.1.0","189006","b73um1q9","4","accent_credibility_four_speakers","6a0cc6cca9e347d4b0603607","6a0d18ca6b133c23bd4a9bda","6a0d1e41d998fda4c4ebfc19","prolific","","","","","","","","20","20F","20","Audio item 20","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_20F_audio.webm","7","0","0","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_33F_audio.webm","null","audio-keyboard-response","27","2.1.1","192360","b73um1q9","4","accent_credibility_four_speakers","6a0cc6cca9e347d4b0603607","6a0d18ca6b133c23bd4a9bda","6a0d1e41d998fda4c4ebfc19","prolific","","","","","","","","33","33F","33","Audio item 33","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_33F_audio.webm","","","","","","",""
"truth_judgment","3994","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","28","2.1.0","196356","b73um1q9","4","accent_credibility_four_speakers","6a0cc6cca9e347d4b0603607","6a0d18ca6b133c23bd4a9bda","6a0d1e41d998fda4c4ebfc19","prolific","","","","","","","","33","33F","33","Audio item 33","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_33F_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_7T_audio.webm","null","audio-keyboard-response","29","2.1.1","199710","b73um1q9","4","accent_credibility_four_speakers","6a0cc6cca9e347d4b0603607","6a0d18ca6b133c23bd4a9bda","6a0d1e41d998fda4c4ebfc19","prolific","","","","","","","","7","7T","7","Audio item 7","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_7T_audio.webm","","","","","","",""
