"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","2135","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","2150","lew6tk50","1","accent_credibility_four_speakers","69f4bb68bf5c197d2c923ac4","6a0d18ca6b133c23bd4a9bda","6a0d1f4c04a1fe869309c271","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","2557","lew6tk50","1","accent_credibility_four_speakers","69f4bb68bf5c197d2c923ac4","6a0d18ca6b133c23bd4a9bda","6a0d1f4c04a1fe869309c271","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","65636","","","instructions","3","2.1.0","68194","lew6tk50","1","accent_credibility_four_speakers","69f4bb68bf5c197d2c923ac4","6a0d18ca6b133c23bd4a9bda","6a0d1f4c04a1fe869309c271","prolific","","","","","","","[{""page_index"":0,""viewing_time"":7211},{""page_index"":1,""viewing_time"":12950},{""page_index"":2,""viewing_time"":15671},{""page_index"":3,""viewing_time"":21109},{""page_index"":4,""viewing_time"":8696}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","7969","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","115404","lew6tk50","1","accent_credibility_four_speakers","69f4bb68bf5c197d2c923ac4","6a0d18ca6b133c23bd4a9bda","6a0d1f4c04a1fe869309c271","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","120087","lew6tk50","1","accent_credibility_four_speakers","69f4bb68bf5c197d2c923ac4","6a0d18ca6b133c23bd4a9bda","6a0d1f4c04a1fe869309c271","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","5935","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","2","html-slider-response","11","2.1.0","126025","lew6tk50","1","accent_credibility_four_speakers","69f4bb68bf5c197d2c923ac4","6a0d18ca6b133c23bd4a9bda","6a0d1f4c04a1fe869309c271","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","2","2","0","14","definitely false","definitely true"
"practice_complete","4226","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","130252","lew6tk50","1","accent_credibility_four_speakers","69f4bb68bf5c197d2c923ac4","6a0d18ca6b133c23bd4a9bda","6a0d1f4c04a1fe869309c271","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_23F_audio.webm","null","audio-keyboard-response","13","2.1.1","134332","lew6tk50","1","accent_credibility_four_speakers","69f4bb68bf5c197d2c923ac4","6a0d18ca6b133c23bd4a9bda","6a0d1f4c04a1fe869309c271","prolific","","","","","","","","23","23F","23","Audio item 23","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_23F_audio.webm","","","","","","",""
"truth_judgment","5174","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","3","html-slider-response","14","2.1.0","139507","lew6tk50","1","accent_credibility_four_speakers","69f4bb68bf5c197d2c923ac4","6a0d18ca6b133c23bd4a9bda","6a0d1f4c04a1fe869309c271","prolific","","","","","","","","23","23F","23","Audio item 23","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_23F_audio.webm","7","3","3","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_38F_audio.webm","null","audio-keyboard-response","15","2.1.1","143405","lew6tk50","1","accent_credibility_four_speakers","69f4bb68bf5c197d2c923ac4","6a0d18ca6b133c23bd4a9bda","6a0d1f4c04a1fe869309c271","prolific","","","","","","","","38","38F","38","Audio item 38","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_38F_audio.webm","","","","","","",""
"truth_judgment","5099","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","10","html-slider-response","16","2.1.0","148505","lew6tk50","1","accent_credibility_four_speakers","69f4bb68bf5c197d2c923ac4","6a0d18ca6b133c23bd4a9bda","6a0d1f4c04a1fe869309c271","prolific","","","","","","","","38","38F","38","Audio item 38","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_38F_audio.webm","7","10","10","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F11F_audio.webm","null","audio-keyboard-response","17","2.1.1","154086","lew6tk50","1","accent_credibility_four_speakers","69f4bb68bf5c197d2c923ac4","6a0d18ca6b133c23bd4a9bda","6a0d1f4c04a1fe869309c271","prolific","","","","","","","","F11","F11F","11","Audio item F11","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F11F_audio.webm","","","","","","",""
"truth_judgment","5130","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","8","html-slider-response","18","2.1.0","159217","lew6tk50","1","accent_credibility_four_speakers","69f4bb68bf5c197d2c923ac4","6a0d18ca6b133c23bd4a9bda","6a0d1f4c04a1fe869309c271","prolific","","","","","","","","F11","F11F","11","Audio item F11","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F11F_audio.webm","7","8","8","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_1/ha77v84840_13F_audio.webm","null","audio-keyboard-response","19","2.1.1","164860","lew6tk50","1","accent_credibility_four_speakers","69f4bb68bf5c197d2c923ac4","6a0d18ca6b133c23bd4a9bda","6a0d1f4c04a1fe869309c271","prolific","","","","","","","","13","13F","13","Audio item 13","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_13F_audio.webm","","","","","","",""
"truth_judgment","3238","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","1","html-slider-response","20","2.1.0","168099","lew6tk50","1","accent_credibility_four_speakers","69f4bb68bf5c197d2c923ac4","6a0d18ca6b133c23bd4a9bda","6a0d1f4c04a1fe869309c271","prolific","","","","","","","","13","13F","13","Audio item 13","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_13F_audio.webm","7","1","1","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_36T_audio.webm","null","audio-keyboard-response","21","2.1.1","172603","lew6tk50","1","accent_credibility_four_speakers","69f4bb68bf5c197d2c923ac4","6a0d18ca6b133c23bd4a9bda","6a0d1f4c04a1fe869309c271","prolific","","","","","","","","36","36T","36","Audio item 36","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_36T_audio.webm","","","","","","",""
"truth_judgment","3227","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","11","html-slider-response","22","2.1.0","175831","lew6tk50","1","accent_credibility_four_speakers","69f4bb68bf5c197d2c923ac4","6a0d18ca6b133c23bd4a9bda","6a0d1f4c04a1fe869309c271","prolific","","","","","","","","36","36T","36","Audio item 36","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_36T_audio.webm","7","11","11","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_8T_audio.webm","null","audio-keyboard-response","23","2.1.1","180631","lew6tk50","1","accent_credibility_four_speakers","69f4bb68bf5c197d2c923ac4","6a0d18ca6b133c23bd4a9bda","6a0d1f4c04a1fe869309c271","prolific","","","","","","","","8","8T","8","Audio item 8","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_8T_audio.webm","","","","","","",""
"truth_judgment","3052","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","24","2.1.0","183685","lew6tk50","1","accent_credibility_four_speakers","69f4bb68bf5c197d2c923ac4","6a0d18ca6b133c23bd4a9bda","6a0d1f4c04a1fe869309c271","prolific","","","","","","","","8","8T","8","Audio item 8","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_8T_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_30T_audio.webm","null","audio-keyboard-response","25","2.1.1","188009","lew6tk50","1","accent_credibility_four_speakers","69f4bb68bf5c197d2c923ac4","6a0d18ca6b133c23bd4a9bda","6a0d1f4c04a1fe869309c271","prolific","","","","","","","","30","30T","30","Audio item 30","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_30T_audio.webm","","","","","","",""
"truth_judgment","3273","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","11","html-slider-response","26","2.1.0","191282","lew6tk50","1","accent_credibility_four_speakers","69f4bb68bf5c197d2c923ac4","6a0d18ca6b133c23bd4a9bda","6a0d1f4c04a1fe869309c271","prolific","","","","","","","","30","30T","30","Audio item 30","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_30T_audio.webm","7","11","11","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F7F_audio.webm","null","audio-keyboard-response","27","2.1.1","196983","lew6tk50","1","accent_credibility_four_speakers","69f4bb68bf5c197d2c923ac4","6a0d18ca6b133c23bd4a9bda","6a0d1f4c04a1fe869309c271","prolific","","","","","","","","F7","F7F","7","Audio item F7","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F7F_audio.webm","","","","","","",""
"truth_judgment","3673","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","10","html-slider-response","28","2.1.0","200657","lew6tk50","1","accent_credibility_four_speakers","69f4bb68bf5c197d2c923ac4","6a0d18ca6b133c23bd4a9bda","6a0d1f4c04a1fe869309c271","prolific","","","","","","","","F7","F7F","7","Audio item F7","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F7F_audio.webm","7","10","10","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_31T_audio.webm","null","audio-keyboard-response","29","2.1.1","204442","lew6tk50","1","accent_credibility_four_speakers","69f4bb68bf5c197d2c923ac4","6a0d18ca6b133c23bd4a9bda","6a0d1f4c04a1fe869309c271","prolific","","","","","","","","31","31T","31","Audio item 31","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_31T_audio.webm","","","","","","",""
"truth_judgment","2894","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","9","html-slider-response","30","2.1.0","207338","lew6tk50","1","accent_credibility_four_speakers","69f4bb68bf5c197d2c923ac4","6a0d18ca6b133c23bd4a9bda","6a0d1f4c04a1fe869309c271","prolific","","","","","","","","31","31T","31","Audio item 31","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_31T_audio.webm","7","9","9","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_1/ha77v84840_33T_audio.webm","null","audio-keyboard-response","31","2.1.1","211124","lew6tk50","1","accent_credibility_four_speakers","69f4bb68bf5c197d2c923ac4","6a0d18ca6b133c23bd4a9bda","6a0d1f4c04a1fe869309c271","prolific","","","","","","","","33","33T","33","Audio item 33","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_33T_audio.webm","","","","","","",""
