"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","5340","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","5350","b7xob9yv","4","accent_credibility_four_speakers","6a0b93dd3a9f5036dac953af","6a0d18ca6b133c23bd4a9bda","6a0d1f453797dbdb36113fcf","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","5681","b7xob9yv","4","accent_credibility_four_speakers","6a0b93dd3a9f5036dac953af","6a0d18ca6b133c23bd4a9bda","6a0d1f453797dbdb36113fcf","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","44631","","","instructions","3","2.1.0","50315","b7xob9yv","4","accent_credibility_four_speakers","6a0b93dd3a9f5036dac953af","6a0d18ca6b133c23bd4a9bda","6a0d1f453797dbdb36113fcf","prolific","","","","","","","[{""page_index"":0,""viewing_time"":3795},{""page_index"":1,""viewing_time"":6356},{""page_index"":2,""viewing_time"":6542},{""page_index"":3,""viewing_time"":18708},{""page_index"":4,""viewing_time"":9230}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","8054","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","94779","b7xob9yv","4","accent_credibility_four_speakers","6a0b93dd3a9f5036dac953af","6a0d18ca6b133c23bd4a9bda","6a0d1f453797dbdb36113fcf","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","99440","b7xob9yv","4","accent_credibility_four_speakers","6a0b93dd3a9f5036dac953af","6a0d18ca6b133c23bd4a9bda","6a0d1f453797dbdb36113fcf","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","4195","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","11","html-slider-response","11","2.1.0","103639","b7xob9yv","4","accent_credibility_four_speakers","6a0b93dd3a9f5036dac953af","6a0d18ca6b133c23bd4a9bda","6a0d1f453797dbdb36113fcf","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","11","11","0","14","definitely false","definitely true"
"practice_complete","2756","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","106399","b7xob9yv","4","accent_credibility_four_speakers","6a0b93dd3a9f5036dac953af","6a0d18ca6b133c23bd4a9bda","6a0d1f453797dbdb36113fcf","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_16F_audio.webm","null","audio-keyboard-response","13","2.1.1","109343","b7xob9yv","4","accent_credibility_four_speakers","6a0b93dd3a9f5036dac953af","6a0d18ca6b133c23bd4a9bda","6a0d1f453797dbdb36113fcf","prolific","","","","","","","","16","16F","16","Audio item 16","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_16F_audio.webm","","","","","","",""
"truth_judgment","3690","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","3","html-slider-response","14","2.1.0","113037","b7xob9yv","4","accent_credibility_four_speakers","6a0b93dd3a9f5036dac953af","6a0d18ca6b133c23bd4a9bda","6a0d1f453797dbdb36113fcf","prolific","","","","","","","","16","16F","16","Audio item 16","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_16F_audio.webm","7","3","3","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F3T_audio.webm","null","audio-keyboard-response","15","2.1.1","115984","b7xob9yv","4","accent_credibility_four_speakers","6a0b93dd3a9f5036dac953af","6a0d18ca6b133c23bd4a9bda","6a0d1f453797dbdb36113fcf","prolific","","","","","","","","F3","F3T","3","Audio item F3","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F3T_audio.webm","","","","","","",""
"truth_judgment","2970","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","11","html-slider-response","16","2.1.0","118958","b7xob9yv","4","accent_credibility_four_speakers","6a0b93dd3a9f5036dac953af","6a0d18ca6b133c23bd4a9bda","6a0d1f453797dbdb36113fcf","prolific","","","","","","","","F3","F3T","3","Audio item F3","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F3T_audio.webm","7","11","11","0","14","definitely false","definitely true"
