"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","8498","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","8503","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","8823","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","67896","","","instructions","3","2.1.0","76719","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","","","","","","[{""page_index"":0,""viewing_time"":6029},{""page_index"":1,""viewing_time"":10517},{""page_index"":2,""viewing_time"":15702},{""page_index"":3,""viewing_time"":26429},{""page_index"":4,""viewing_time"":9219}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","26057","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","161603","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","166236","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","8210","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","1","html-slider-response","11","2.1.0","174447","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","1","1","0","14","definitely false","definitely true"
"practice_complete","3753","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","178200","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_37F_audio.webm","null","audio-keyboard-response","13","2.1.1","182817","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","","","","","","","37","37F","37","Audio item 37","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_37F_audio.webm","","","","","","",""
"truth_judgment","4599","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","14","2.1.0","187417","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","","","","","","","37","37F","37","Audio item 37","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_37F_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_12T_audio.webm","null","audio-keyboard-response","15","2.1.1","192876","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","","","","","","","12","12T","12","Audio item 12","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_12T_audio.webm","","","","","","",""
"truth_judgment","7099","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","2","html-slider-response","16","2.1.0","199976","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","","","","","","","12","12T","12","Audio item 12","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_12T_audio.webm","7","2","2","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_17T_audio.webm","null","audio-keyboard-response","17","2.1.1","204656","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","","","","","","","17","17T","17","Audio item 17","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_17T_audio.webm","","","","","","",""
"truth_judgment","10130","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","8","html-slider-response","18","2.1.0","214787","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","","","","","","","17","17T","17","Audio item 17","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_17T_audio.webm","7","8","8","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_1/ha77v84840_15F_audio.webm","null","audio-keyboard-response","19","2.1.1","221747","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","","","","","","","15","15F","15","Audio item 15","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_15F_audio.webm","","","","","","",""
"truth_judgment","7079","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","10","html-slider-response","20","2.1.0","228828","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","","","","","","","15","15F","15","Audio item 15","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_15F_audio.webm","7","10","10","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_38F_audio.webm","null","audio-keyboard-response","21","2.1.1","233146","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","","","","","","","38","38F","38","Audio item 38","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_38F_audio.webm","","","","","","",""
"truth_judgment","8114","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","1","html-slider-response","22","2.1.0","241262","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","","","","","","","38","38F","38","Audio item 38","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_38F_audio.webm","7","1","1","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_29T_audio.webm","null","audio-keyboard-response","23","2.1.1","247675","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","","","","","","","29","29T","29","Audio item 29","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_29T_audio.webm","","","","","","",""
"truth_judgment","8871","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","0","html-slider-response","24","2.1.0","256548","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","","","","","","","29","29T","29","Audio item 29","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_29T_audio.webm","7","0","0","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F6F_audio.webm","null","audio-keyboard-response","25","2.1.1","261945","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","","","","","","","F6","F6F","6","Audio item F6","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F6F_audio.webm","","","","","","",""
"truth_judgment","5898","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","0","html-slider-response","26","2.1.0","267844","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","","","","","","","F6","F6F","6","Audio item F6","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F6F_audio.webm","7","0","0","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_24F_audio.webm","null","audio-keyboard-response","27","2.1.1","272877","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","","","","","","","24","24F","24","Audio item 24","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_24F_audio.webm","","","","","","",""
"truth_judgment","4832","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","1","html-slider-response","28","2.1.0","277711","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","","","","","","","24","24F","24","Audio item 24","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_24F_audio.webm","7","1","1","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_41T_audio.webm","null","audio-keyboard-response","29","2.1.1","282147","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","","","","","","","41","41T","41","Audio item 41","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_41T_audio.webm","","","","","","",""
"truth_judgment","4642","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","8","html-slider-response","30","2.1.0","286791","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","","","","","","","41","41T","41","Audio item 41","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_41T_audio.webm","7","8","8","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_16F_audio.webm","null","audio-keyboard-response","31","2.1.1","290746","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","","","","","","","16","16F","16","Audio item 16","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_16F_audio.webm","","","","","","",""
"truth_judgment","7073","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","0","html-slider-response","32","2.1.0","297820","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","","","","","","","16","16F","16","Audio item 16","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_16F_audio.webm","7","0","0","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F5F_audio.webm","null","audio-keyboard-response","33","2.1.1","301476","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","","","","","","","F5","F5F","5","Audio item F5","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F5F_audio.webm","","","","","","",""
"truth_judgment","9684","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","34","2.1.0","311161","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","","","","","","","F5","F5F","5","Audio item F5","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F5F_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_1/ha77v84840_7T_audio.webm","null","audio-keyboard-response","35","2.1.1","314216","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","","","","","","","7","7T","7","Audio item 7","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_7T_audio.webm","","","","","","",""
"truth_judgment","2733","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","1","html-slider-response","36","2.1.0","316951","15cnetql","3","accent_credibility_four_speakers","69fae3d326bd82ffd19d2578","6a0d18ca6b133c23bd4a9bda","6a0d1fc1bf481ba4c84e0868","prolific","","","","","","","","7","7T","7","Audio item 7","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_7T_audio.webm","7","1","1","0","14","definitely false","definitely true"
