"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","612614","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","612620","qmzp17gt","1","accent_credibility_four_speakers","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","612817","qmzp17gt","1","accent_credibility_four_speakers","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","158890","","","instructions","3","2.1.0","771707","qmzp17gt","1","accent_credibility_four_speakers","","","","","","","[{""page_index"":0,""viewing_time"":21859},{""page_index"":1,""viewing_time"":9420},{""page_index"":2,""viewing_time"":26942},{""page_index"":3,""viewing_time"":68697},{""page_index"":4,""viewing_time"":7004},{""page_index"":3,""viewing_time"":5992},{""page_index"":4,""viewing_time"":18975}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","101348","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","922264","qmzp17gt","1","accent_credibility_four_speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","927493","qmzp17gt","1","accent_credibility_four_speakers","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","18785","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
      <p>Move the marker to the point on the line that best matches your judgment.</p>
      <p class=""truth-scale-instruction"">Left end: definitely false. Right end: definitely true.</p>
      <p class=""small-note"">Reaction time for this judgment is recorded automatically.</p>
    </div>
  ","11","html-slider-response","11","2.1.0","946280","qmzp17gt","1","accent_credibility_four_speakers","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","11","11","0","14","definitely false","definitely true"
"practice_complete","3057","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","949339","qmzp17gt","1","accent_credibility_four_speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_47T_audio.webm","null","audio-keyboard-response","13","2.1.1","954050","qmzp17gt","1","accent_credibility_four_speakers","","","","","","","","47","47T","47","Audio item 47","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_47T_audio.webm","","","","","","",""
"truth_judgment","57909","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
      <p>Move the marker to the point on the line that best matches your judgment.</p>
      <p class=""truth-scale-instruction"">Left end: definitely false. Right end: definitely true.</p>
      <p class=""small-note"">Reaction time for this judgment is recorded automatically.</p>
    </div>
  ","4","html-slider-response","14","2.1.0","1011960","qmzp17gt","1","accent_credibility_four_speakers","","","","","","","","47","47T","47","Audio item 47","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_47T_audio.webm","7","4","4","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F11T_audio.webm","null","audio-keyboard-response","15","2.1.1","1017714","qmzp17gt","1","accent_credibility_four_speakers","","","","","","","","F11","F11T","11","Audio item F11","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F11T_audio.webm","","","","","","",""
