"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","19870","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","19876","audhqura","2","accent_credibility_four_speakers","69fbfec27294f059e56e0f39","6a0d18ca6b133c23bd4a9bda","6a0d25db48ac184cccedf7e6","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","20134","audhqura","2","accent_credibility_four_speakers","69fbfec27294f059e56e0f39","6a0d18ca6b133c23bd4a9bda","6a0d25db48ac184cccedf7e6","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","75673","","","instructions","3","2.1.0","95807","audhqura","2","accent_credibility_four_speakers","69fbfec27294f059e56e0f39","6a0d18ca6b133c23bd4a9bda","6a0d25db48ac184cccedf7e6","prolific","","","","","","","[{""page_index"":0,""viewing_time"":12423},{""page_index"":1,""viewing_time"":12734},{""page_index"":2,""viewing_time"":13700},{""page_index"":3,""viewing_time"":27300},{""page_index"":4,""viewing_time"":9517}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","3948","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","156524","audhqura","2","accent_credibility_four_speakers","69fbfec27294f059e56e0f39","6a0d18ca6b133c23bd4a9bda","6a0d25db48ac184cccedf7e6","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","161182","audhqura","2","accent_credibility_four_speakers","69fbfec27294f059e56e0f39","6a0d18ca6b133c23bd4a9bda","6a0d25db48ac184cccedf7e6","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","5988","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","11","html-slider-response","11","2.1.0","167174","audhqura","2","accent_credibility_four_speakers","69fbfec27294f059e56e0f39","6a0d18ca6b133c23bd4a9bda","6a0d25db48ac184cccedf7e6","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","11","11","0","14","definitely false","definitely true"
"practice_complete","2215","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","169390","audhqura","2","accent_credibility_four_speakers","69fbfec27294f059e56e0f39","6a0d18ca6b133c23bd4a9bda","6a0d25db48ac184cccedf7e6","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F14F_audio.webm","null","audio-keyboard-response","13","2.1.1","174072","audhqura","2","accent_credibility_four_speakers","69fbfec27294f059e56e0f39","6a0d18ca6b133c23bd4a9bda","6a0d25db48ac184cccedf7e6","prolific","","","","","","","","F14","F14F","14","Audio item F14","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F14F_audio.webm","","","","","","",""
"truth_judgment","6484","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","10","html-slider-response","14","2.1.0","180558","audhqura","2","accent_credibility_four_speakers","69fbfec27294f059e56e0f39","6a0d18ca6b133c23bd4a9bda","6a0d25db48ac184cccedf7e6","prolific","","","","","","","","F14","F14F","14","Audio item F14","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F14F_audio.webm","7","10","10","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F11T_audio.webm","null","audio-keyboard-response","15","2.1.1","185720","audhqura","2","accent_credibility_four_speakers","69fbfec27294f059e56e0f39","6a0d18ca6b133c23bd4a9bda","6a0d25db48ac184cccedf7e6","prolific","","","","","","","","F11","F11T","11","Audio item F11","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F11T_audio.webm","","","","","","",""
