"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","1177","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","1185","gn7d7me3","4","accent_credibility_four_speakers","66cc4ba25cc59f1c17f1a2b4","6a0d18ca6b133c23bd4a9bda","6a0d1efb180f6ff99b1ba60f","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","2730","gn7d7me3","4","accent_credibility_four_speakers","66cc4ba25cc59f1c17f1a2b4","6a0d18ca6b133c23bd4a9bda","6a0d1efb180f6ff99b1ba60f","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","84931","","","instructions","3","2.1.0","87673","gn7d7me3","4","accent_credibility_four_speakers","66cc4ba25cc59f1c17f1a2b4","6a0d18ca6b133c23bd4a9bda","6a0d1efb180f6ff99b1ba60f","prolific","","","","","","","[{""page_index"":0,""viewing_time"":11690},{""page_index"":1,""viewing_time"":1283},{""page_index"":2,""viewing_time"":2216},{""page_index"":3,""viewing_time"":4734},{""page_index"":4,""viewing_time"":65008}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","62970","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","183122","gn7d7me3","4","accent_credibility_four_speakers","66cc4ba25cc59f1c17f1a2b4","6a0d18ca6b133c23bd4a9bda","6a0d1efb180f6ff99b1ba60f","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","187741","gn7d7me3","4","accent_credibility_four_speakers","66cc4ba25cc59f1c17f1a2b4","6a0d18ca6b133c23bd4a9bda","6a0d1efb180f6ff99b1ba60f","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","2557","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","4","html-slider-response","11","2.1.0","190299","gn7d7me3","4","accent_credibility_four_speakers","66cc4ba25cc59f1c17f1a2b4","6a0d18ca6b133c23bd4a9bda","6a0d1efb180f6ff99b1ba60f","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","4","4","0","14","definitely false","definitely true"
"practice_complete","86870","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","277178","gn7d7me3","4","accent_credibility_four_speakers","66cc4ba25cc59f1c17f1a2b4","6a0d18ca6b133c23bd4a9bda","6a0d1efb180f6ff99b1ba60f","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F1F_audio.webm","null","audio-keyboard-response","13","2.1.1","281789","gn7d7me3","4","accent_credibility_four_speakers","66cc4ba25cc59f1c17f1a2b4","6a0d18ca6b133c23bd4a9bda","6a0d1efb180f6ff99b1ba60f","prolific","","","","","","","","F1","F1F","1","Audio item F1","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F1F_audio.webm","","","","","","",""
"truth_judgment","2550","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","4","html-slider-response","14","2.1.0","284340","gn7d7me3","4","accent_credibility_four_speakers","66cc4ba25cc59f1c17f1a2b4","6a0d18ca6b133c23bd4a9bda","6a0d1efb180f6ff99b1ba60f","prolific","","","","","","","","F1","F1F","1","Audio item F1","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F1F_audio.webm","7","4","4","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_1/ha77v84840_26F_audio.webm","null","audio-keyboard-response","15","2.1.1","289449","gn7d7me3","4","accent_credibility_four_speakers","66cc4ba25cc59f1c17f1a2b4","6a0d18ca6b133c23bd4a9bda","6a0d1efb180f6ff99b1ba60f","prolific","","","","","","","","26","26F","26","Audio item 26","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_26F_audio.webm","","","","","","",""
"truth_judgment","6489","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","3","html-slider-response","16","2.1.0","295939","gn7d7me3","4","accent_credibility_four_speakers","66cc4ba25cc59f1c17f1a2b4","6a0d18ca6b133c23bd4a9bda","6a0d1efb180f6ff99b1ba60f","prolific","","","","","","","","26","26F","26","Audio item 26","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_26F_audio.webm","7","3","3","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_4F_audio.webm","null","audio-keyboard-response","17","2.1.1","298099","gn7d7me3","4","accent_credibility_four_speakers","66cc4ba25cc59f1c17f1a2b4","6a0d18ca6b133c23bd4a9bda","6a0d1efb180f6ff99b1ba60f","prolific","","","","","","","","4","4F","4","Audio item 4","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_4F_audio.webm","","","","","","",""
"truth_judgment","3405","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","0","html-slider-response","18","2.1.0","301505","gn7d7me3","4","accent_credibility_four_speakers","66cc4ba25cc59f1c17f1a2b4","6a0d18ca6b133c23bd4a9bda","6a0d1efb180f6ff99b1ba60f","prolific","","","","","","","","4","4F","4","Audio item 4","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_4F_audio.webm","7","0","0","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F12F_audio.webm","null","audio-keyboard-response","19","2.1.1","305769","gn7d7me3","4","accent_credibility_four_speakers","66cc4ba25cc59f1c17f1a2b4","6a0d18ca6b133c23bd4a9bda","6a0d1efb180f6ff99b1ba60f","prolific","","","","","","","","F12","F12F","12","Audio item F12","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F12F_audio.webm","","","","","","",""
"truth_judgment","2168","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","20","2.1.0","307938","gn7d7me3","4","accent_credibility_four_speakers","66cc4ba25cc59f1c17f1a2b4","6a0d18ca6b133c23bd4a9bda","6a0d1efb180f6ff99b1ba60f","prolific","","","","","","","","F12","F12F","12","Audio item F12","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F12F_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_23F_audio.webm","null","audio-keyboard-response","21","2.1.1","313089","gn7d7me3","4","accent_credibility_four_speakers","66cc4ba25cc59f1c17f1a2b4","6a0d18ca6b133c23bd4a9bda","6a0d1efb180f6ff99b1ba60f","prolific","","","","","","","","23","23F","23","Audio item 23","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_23F_audio.webm","","","","","","",""
