"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","33688","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","33699","y7gur4ms","4","accent_credibility_four_speakers","647e00af96651278d30d298a","6a0d18ca6b133c23bd4a9bda","6a0d1e60f75467ccdd71b5df","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","34044","y7gur4ms","4","accent_credibility_four_speakers","647e00af96651278d30d298a","6a0d18ca6b133c23bd4a9bda","6a0d1e60f75467ccdd71b5df","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","67820","","","instructions","3","2.1.0","101865","y7gur4ms","4","accent_credibility_four_speakers","647e00af96651278d30d298a","6a0d18ca6b133c23bd4a9bda","6a0d1e60f75467ccdd71b5df","prolific","","","","","","","[{""page_index"":0,""viewing_time"":14429},{""page_index"":1,""viewing_time"":7319},{""page_index"":2,""viewing_time"":8921},{""page_index"":3,""viewing_time"":28328},{""page_index"":4,""viewing_time"":8824}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","15728","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","151490","y7gur4ms","4","accent_credibility_four_speakers","647e00af96651278d30d298a","6a0d18ca6b133c23bd4a9bda","6a0d1e60f75467ccdd71b5df","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","156465","y7gur4ms","4","accent_credibility_four_speakers","647e00af96651278d30d298a","6a0d18ca6b133c23bd4a9bda","6a0d1e60f75467ccdd71b5df","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","4780","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","11","html-slider-response","11","2.1.0","161251","y7gur4ms","4","accent_credibility_four_speakers","647e00af96651278d30d298a","6a0d18ca6b133c23bd4a9bda","6a0d1e60f75467ccdd71b5df","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","11","11","0","14","definitely false","definitely true"
"practice_complete","3109","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","164361","y7gur4ms","4","accent_credibility_four_speakers","647e00af96651278d30d298a","6a0d18ca6b133c23bd4a9bda","6a0d1e60f75467ccdd71b5df","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/native_1/ha77v84840_46T_audio.webm","null","audio-keyboard-response","13","2.1.1","168675","y7gur4ms","4","accent_credibility_four_speakers","647e00af96651278d30d298a","6a0d18ca6b133c23bd4a9bda","6a0d1e60f75467ccdd71b5df","prolific","","","","","","","","46","46T","46","Audio item 46","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_46T_audio.webm","","","","","","",""
"truth_judgment","4379","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","4","html-slider-response","14","2.1.0","173056","y7gur4ms","4","accent_credibility_four_speakers","647e00af96651278d30d298a","6a0d18ca6b133c23bd4a9bda","6a0d1e60f75467ccdd71b5df","prolific","","","","","","","","46","46T","46","Audio item 46","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_46T_audio.webm","7","4","4","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_41F_audio.webm","null","audio-keyboard-response","15","2.1.1","179056","y7gur4ms","4","accent_credibility_four_speakers","647e00af96651278d30d298a","6a0d18ca6b133c23bd4a9bda","6a0d1e60f75467ccdd71b5df","prolific","","","","","","","","41","41F","41","Audio item 41","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_41F_audio.webm","","","","","","",""
