"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","5577","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","5582","z1fsvzw0","4","accent_credibility_four_speakers","695ece3dc96ad81069ef018c","6a0d18ca6b133c23bd4a9bda","6a0d23a24f17bd05b45f4c6d","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","6141","z1fsvzw0","4","accent_credibility_four_speakers","695ece3dc96ad81069ef018c","6a0d18ca6b133c23bd4a9bda","6a0d23a24f17bd05b45f4c6d","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","42277","","","instructions","3","2.1.0","48418","z1fsvzw0","4","accent_credibility_four_speakers","695ece3dc96ad81069ef018c","6a0d18ca6b133c23bd4a9bda","6a0d23a24f17bd05b45f4c6d","prolific","","","","","","","[{""page_index"":0,""viewing_time"":12078},{""page_index"":1,""viewing_time"":5260},{""page_index"":2,""viewing_time"":14053},{""page_index"":3,""viewing_time"":6000},{""page_index"":4,""viewing_time"":4887}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","2305","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","85658","z1fsvzw0","4","accent_credibility_four_speakers","695ece3dc96ad81069ef018c","6a0d18ca6b133c23bd4a9bda","6a0d23a24f17bd05b45f4c6d","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","91039","z1fsvzw0","4","accent_credibility_four_speakers","695ece3dc96ad81069ef018c","6a0d18ca6b133c23bd4a9bda","6a0d23a24f17bd05b45f4c6d","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","3475","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","10","html-slider-response","11","2.1.0","94520","z1fsvzw0","4","accent_credibility_four_speakers","695ece3dc96ad81069ef018c","6a0d18ca6b133c23bd4a9bda","6a0d23a24f17bd05b45f4c6d","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","10","10","0","14","definitely false","definitely true"
"practice_complete","1813","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","96333","z1fsvzw0","4","accent_credibility_four_speakers","695ece3dc96ad81069ef018c","6a0d18ca6b133c23bd4a9bda","6a0d23a24f17bd05b45f4c6d","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_17F_audio.webm","null","audio-keyboard-response","13","2.1.1","99759","z1fsvzw0","4","accent_credibility_four_speakers","695ece3dc96ad81069ef018c","6a0d18ca6b133c23bd4a9bda","6a0d23a24f17bd05b45f4c6d","prolific","","","","","","","","17","17F","17","Audio item 17","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_17F_audio.webm","","","","","","",""
"truth_judgment","2830","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","3","html-slider-response","14","2.1.0","102589","z1fsvzw0","4","accent_credibility_four_speakers","695ece3dc96ad81069ef018c","6a0d18ca6b133c23bd4a9bda","6a0d23a24f17bd05b45f4c6d","prolific","","","","","","","","17","17F","17","Audio item 17","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_17F_audio.webm","7","3","3","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_1/ha77v84840_26T_audio.webm","null","audio-keyboard-response","15","2.1.1","107089","z1fsvzw0","4","accent_credibility_four_speakers","695ece3dc96ad81069ef018c","6a0d18ca6b133c23bd4a9bda","6a0d23a24f17bd05b45f4c6d","prolific","","","","","","","","26","26T","26","Audio item 26","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_26T_audio.webm","","","","","","",""
"truth_judgment","3864","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","6","html-slider-response","16","2.1.0","110954","z1fsvzw0","4","accent_credibility_four_speakers","695ece3dc96ad81069ef018c","6a0d18ca6b133c23bd4a9bda","6a0d23a24f17bd05b45f4c6d","prolific","","","","","","","","26","26T","26","Audio item 26","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_26T_audio.webm","7","6","6","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_1F_audio.webm","null","audio-keyboard-response","17","2.1.1","116290","z1fsvzw0","4","accent_credibility_four_speakers","695ece3dc96ad81069ef018c","6a0d18ca6b133c23bd4a9bda","6a0d23a24f17bd05b45f4c6d","prolific","","","","","","","","1","1F","1","Audio item 1","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_1F_audio.webm","","","","","","",""
"truth_judgment","9250","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","5","html-slider-response","18","2.1.0","125540","z1fsvzw0","4","accent_credibility_four_speakers","695ece3dc96ad81069ef018c","6a0d18ca6b133c23bd4a9bda","6a0d23a24f17bd05b45f4c6d","prolific","","","","","","","","1","1F","1","Audio item 1","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_1F_audio.webm","7","5","5","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_4F_audio.webm","null","audio-keyboard-response","19","2.1.1","127700","z1fsvzw0","4","accent_credibility_four_speakers","695ece3dc96ad81069ef018c","6a0d18ca6b133c23bd4a9bda","6a0d23a24f17bd05b45f4c6d","prolific","","","","","","","","4","4F","4","Audio item 4","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_4F_audio.webm","","","","","","",""
"truth_judgment","3021","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","2","html-slider-response","20","2.1.0","130721","z1fsvzw0","4","accent_credibility_four_speakers","695ece3dc96ad81069ef018c","6a0d18ca6b133c23bd4a9bda","6a0d23a24f17bd05b45f4c6d","prolific","","","","","","","","4","4F","4","Audio item 4","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_4F_audio.webm","7","2","2","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F16F_audio.webm","null","audio-keyboard-response","21","2.1.1","137919","z1fsvzw0","4","accent_credibility_four_speakers","695ece3dc96ad81069ef018c","6a0d18ca6b133c23bd4a9bda","6a0d23a24f17bd05b45f4c6d","prolific","","","","","","","","F16","F16F","16","Audio item F16","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F16F_audio.webm","","","","","","",""
