"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","3204","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","3218","642q5ge7","2","accent_credibility_four_speakers","63d15d3dd6cacf7e94f8c0b1","6a0d18ca6b133c23bd4a9bda","6a0d2220c967983b9906bf6d","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","3605","642q5ge7","2","accent_credibility_four_speakers","63d15d3dd6cacf7e94f8c0b1","6a0d18ca6b133c23bd4a9bda","6a0d2220c967983b9906bf6d","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","272027","","","instructions","3","2.1.0","275637","642q5ge7","2","accent_credibility_four_speakers","63d15d3dd6cacf7e94f8c0b1","6a0d18ca6b133c23bd4a9bda","6a0d2220c967983b9906bf6d","prolific","","","","","","","[{""page_index"":0,""viewing_time"":236307},{""page_index"":1,""viewing_time"":4912},{""page_index"":2,""viewing_time"":15239},{""page_index"":3,""viewing_time"":11961},{""page_index"":4,""viewing_time"":3608}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","2310","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","308766","642q5ge7","2","accent_credibility_four_speakers","63d15d3dd6cacf7e94f8c0b1","6a0d18ca6b133c23bd4a9bda","6a0d2220c967983b9906bf6d","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","313409","642q5ge7","2","accent_credibility_four_speakers","63d15d3dd6cacf7e94f8c0b1","6a0d18ca6b133c23bd4a9bda","6a0d2220c967983b9906bf6d","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","3530","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","10","html-slider-response","11","2.1.0","316941","642q5ge7","2","accent_credibility_four_speakers","63d15d3dd6cacf7e94f8c0b1","6a0d18ca6b133c23bd4a9bda","6a0d2220c967983b9906bf6d","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","10","10","0","14","definitely false","definitely true"
"practice_complete","1751","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","318693","642q5ge7","2","accent_credibility_four_speakers","63d15d3dd6cacf7e94f8c0b1","6a0d18ca6b133c23bd4a9bda","6a0d2220c967983b9906bf6d","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_42T_audio.webm","null","audio-keyboard-response","13","2.1.1","323491","642q5ge7","2","accent_credibility_four_speakers","63d15d3dd6cacf7e94f8c0b1","6a0d18ca6b133c23bd4a9bda","6a0d2220c967983b9906bf6d","prolific","","","","","","","","42","42T","42","Audio item 42","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_42T_audio.webm","","","","","","",""
"truth_judgment","7530","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","9","html-slider-response","14","2.1.0","331022","642q5ge7","2","accent_credibility_four_speakers","63d15d3dd6cacf7e94f8c0b1","6a0d18ca6b133c23bd4a9bda","6a0d2220c967983b9906bf6d","prolific","","","","","","","","42","42T","42","Audio item 42","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_42T_audio.webm","7","9","9","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_43F_audio.webm","null","audio-keyboard-response","15","2.1.1","334863","642q5ge7","2","accent_credibility_four_speakers","63d15d3dd6cacf7e94f8c0b1","6a0d18ca6b133c23bd4a9bda","6a0d2220c967983b9906bf6d","prolific","","","","","","","","43","43F","43","Audio item 43","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_43F_audio.webm","","","","","","",""
"truth_judgment","4581","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","0","html-slider-response","16","2.1.0","339446","642q5ge7","2","accent_credibility_four_speakers","63d15d3dd6cacf7e94f8c0b1","6a0d18ca6b133c23bd4a9bda","6a0d2220c967983b9906bf6d","prolific","","","","","","","","43","43F","43","Audio item 43","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_43F_audio.webm","7","0","0","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F1T_audio.webm","null","audio-keyboard-response","17","2.1.1","343830","642q5ge7","2","accent_credibility_four_speakers","63d15d3dd6cacf7e94f8c0b1","6a0d18ca6b133c23bd4a9bda","6a0d2220c967983b9906bf6d","prolific","","","","","","","","F1","F1T","1","Audio item F1","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F1T_audio.webm","","","","","","",""
"truth_judgment","3630","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","18","2.1.0","347462","642q5ge7","2","accent_credibility_four_speakers","63d15d3dd6cacf7e94f8c0b1","6a0d18ca6b133c23bd4a9bda","6a0d2220c967983b9906bf6d","prolific","","","","","","","","F1","F1T","1","Audio item F1","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F1T_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_45F_audio.webm","null","audio-keyboard-response","19","2.1.1","352378","642q5ge7","2","accent_credibility_four_speakers","63d15d3dd6cacf7e94f8c0b1","6a0d18ca6b133c23bd4a9bda","6a0d2220c967983b9906bf6d","prolific","","","","","","","","45","45F","45","Audio item 45","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_45F_audio.webm","","","","","","",""
"truth_judgment","7818","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","4","html-slider-response","20","2.1.0","360198","642q5ge7","2","accent_credibility_four_speakers","63d15d3dd6cacf7e94f8c0b1","6a0d18ca6b133c23bd4a9bda","6a0d2220c967983b9906bf6d","prolific","","","","","","","","45","45F","45","Audio item 45","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_45F_audio.webm","7","4","4","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_7F_audio.webm","null","audio-keyboard-response","21","2.1.1","364576","642q5ge7","2","accent_credibility_four_speakers","63d15d3dd6cacf7e94f8c0b1","6a0d18ca6b133c23bd4a9bda","6a0d2220c967983b9906bf6d","prolific","","","","","","","","7","7F","7","Audio item 7","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_7F_audio.webm","","","","","","",""
"truth_judgment","3109","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","0","html-slider-response","22","2.1.0","367686","642q5ge7","2","accent_credibility_four_speakers","63d15d3dd6cacf7e94f8c0b1","6a0d18ca6b133c23bd4a9bda","6a0d2220c967983b9906bf6d","prolific","","","","","","","","7","7F","7","Audio item 7","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_7F_audio.webm","7","0","0","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_2F_audio.webm","null","audio-keyboard-response","23","2.1.1","373085","642q5ge7","2","accent_credibility_four_speakers","63d15d3dd6cacf7e94f8c0b1","6a0d18ca6b133c23bd4a9bda","6a0d2220c967983b9906bf6d","prolific","","","","","","","","2","2F","2","Audio item 2","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_2F_audio.webm","","","","","","",""
"truth_judgment","2662","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","24","2.1.0","375749","642q5ge7","2","accent_credibility_four_speakers","63d15d3dd6cacf7e94f8c0b1","6a0d18ca6b133c23bd4a9bda","6a0d2220c967983b9906bf6d","prolific","","","","","","","","2","2F","2","Audio item 2","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_2F_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_14F_audio.webm","null","audio-keyboard-response","25","2.1.1","382288","642q5ge7","2","accent_credibility_four_speakers","63d15d3dd6cacf7e94f8c0b1","6a0d18ca6b133c23bd4a9bda","6a0d2220c967983b9906bf6d","prolific","","","","","","","","14","14F","14","Audio item 14","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_14F_audio.webm","","","","","","",""
"truth_judgment","3236","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","26","2.1.0","385526","642q5ge7","2","accent_credibility_four_speakers","63d15d3dd6cacf7e94f8c0b1","6a0d18ca6b133c23bd4a9bda","6a0d2220c967983b9906bf6d","prolific","","","","","","","","14","14F","14","Audio item 14","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_14F_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_22F_audio.webm","null","audio-keyboard-response","27","2.1.1","389840","642q5ge7","2","accent_credibility_four_speakers","63d15d3dd6cacf7e94f8c0b1","6a0d18ca6b133c23bd4a9bda","6a0d2220c967983b9906bf6d","prolific","","","","","","","","22","22F","22","Audio item 22","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_22F_audio.webm","","","","","","",""
"truth_judgment","1903","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","10","html-slider-response","28","2.1.0","391743","642q5ge7","2","accent_credibility_four_speakers","63d15d3dd6cacf7e94f8c0b1","6a0d18ca6b133c23bd4a9bda","6a0d2220c967983b9906bf6d","prolific","","","","","","","","22","22F","22","Audio item 22","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_22F_audio.webm","7","10","10","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F7F_audio.webm","null","audio-keyboard-response","29","2.1.1","397444","642q5ge7","2","accent_credibility_four_speakers","63d15d3dd6cacf7e94f8c0b1","6a0d18ca6b133c23bd4a9bda","6a0d2220c967983b9906bf6d","prolific","","","","","","","","F7","F7F","7","Audio item F7","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F7F_audio.webm","","","","","","",""
"truth_judgment","2399","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","0","html-slider-response","30","2.1.0","399844","642q5ge7","2","accent_credibility_four_speakers","63d15d3dd6cacf7e94f8c0b1","6a0d18ca6b133c23bd4a9bda","6a0d2220c967983b9906bf6d","prolific","","","","","","","","F7","F7F","7","Audio item F7","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F7F_audio.webm","7","0","0","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_6T_audio.webm","null","audio-keyboard-response","31","2.1.1","405363","642q5ge7","2","accent_credibility_four_speakers","63d15d3dd6cacf7e94f8c0b1","6a0d18ca6b133c23bd4a9bda","6a0d2220c967983b9906bf6d","prolific","","","","","","","","6","6T","6","Audio item 6","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_6T_audio.webm","","","","","","",""
"truth_judgment","3135","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","0","html-slider-response","32","2.1.0","408499","642q5ge7","2","accent_credibility_four_speakers","63d15d3dd6cacf7e94f8c0b1","6a0d18ca6b133c23bd4a9bda","6a0d2220c967983b9906bf6d","prolific","","","","","","","","6","6T","6","Audio item 6","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_6T_audio.webm","7","0","0","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_1/ha77v84840_44T_audio.webm","null","audio-keyboard-response","33","2.1.1","412338","642q5ge7","2","accent_credibility_four_speakers","63d15d3dd6cacf7e94f8c0b1","6a0d18ca6b133c23bd4a9bda","6a0d2220c967983b9906bf6d","prolific","","","","","","","","44","44T","44","Audio item 44","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_44T_audio.webm","","","","","","",""
"truth_judgment","1787","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","34","2.1.0","414126","642q5ge7","2","accent_credibility_four_speakers","63d15d3dd6cacf7e94f8c0b1","6a0d18ca6b133c23bd4a9bda","6a0d2220c967983b9906bf6d","prolific","","","","","","","","44","44T","44","Audio item 44","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_44T_audio.webm","7","14","14","0","14","definitely false","definitely true"
