"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","4106","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","4120","tmed2lmr","2","accent_credibility_four_speakers","59a1e22bfc15d200014ba09a","6a0d18ca6b133c23bd4a9bda","6a0d1fc4f2cc5348d86a59e3","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","4405","tmed2lmr","2","accent_credibility_four_speakers","59a1e22bfc15d200014ba09a","6a0d18ca6b133c23bd4a9bda","6a0d1fc4f2cc5348d86a59e3","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","23207","","","instructions","3","2.1.0","27613","tmed2lmr","2","accent_credibility_four_speakers","59a1e22bfc15d200014ba09a","6a0d18ca6b133c23bd4a9bda","6a0d1fc4f2cc5348d86a59e3","prolific","","","","","","","[{""page_index"":0,""viewing_time"":3805},{""page_index"":1,""viewing_time"":4512},{""page_index"":2,""viewing_time"":6020},{""page_index"":3,""viewing_time"":4766},{""page_index"":4,""viewing_time"":4104}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","3175","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","68404","tmed2lmr","2","accent_credibility_four_speakers","59a1e22bfc15d200014ba09a","6a0d18ca6b133c23bd4a9bda","6a0d1fc4f2cc5348d86a59e3","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","73049","tmed2lmr","2","accent_credibility_four_speakers","59a1e22bfc15d200014ba09a","6a0d18ca6b133c23bd4a9bda","6a0d1fc4f2cc5348d86a59e3","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","5232","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","10","html-slider-response","11","2.1.0","78283","tmed2lmr","2","accent_credibility_four_speakers","59a1e22bfc15d200014ba09a","6a0d18ca6b133c23bd4a9bda","6a0d1fc4f2cc5348d86a59e3","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","10","10","0","14","definitely false","definitely true"
"practice_complete","1030","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","79314","tmed2lmr","2","accent_credibility_four_speakers","59a1e22bfc15d200014ba09a","6a0d18ca6b133c23bd4a9bda","6a0d1fc4f2cc5348d86a59e3","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_43T_audio.webm","null","audio-keyboard-response","13","2.1.1","84408","tmed2lmr","2","accent_credibility_four_speakers","59a1e22bfc15d200014ba09a","6a0d18ca6b133c23bd4a9bda","6a0d1fc4f2cc5348d86a59e3","prolific","","","","","","","","43","43T","43","Audio item 43","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_43T_audio.webm","","","","","","",""
"truth_judgment","4188","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","4","html-slider-response","14","2.1.0","88597","tmed2lmr","2","accent_credibility_four_speakers","59a1e22bfc15d200014ba09a","6a0d18ca6b133c23bd4a9bda","6a0d1fc4f2cc5348d86a59e3","prolific","","","","","","","","43","43T","43","Audio item 43","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_43T_audio.webm","7","4","4","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_31F_audio.webm","null","audio-keyboard-response","15","2.1.1","92738","tmed2lmr","2","accent_credibility_four_speakers","59a1e22bfc15d200014ba09a","6a0d18ca6b133c23bd4a9bda","6a0d1fc4f2cc5348d86a59e3","prolific","","","","","","","","31","31F","31","Audio item 31","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_31F_audio.webm","","","","","","",""
