"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","8245","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","8261","tqjaqvqq","1","accent_credibility_four_speakers","6a0947672fcbb5db946e8a08","6a0d18ca6b133c23bd4a9bda","6a0d212697ae74e16a75719d","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","8831","tqjaqvqq","1","accent_credibility_four_speakers","6a0947672fcbb5db946e8a08","6a0d18ca6b133c23bd4a9bda","6a0d212697ae74e16a75719d","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","35202","","","instructions","3","2.1.0","44034","tqjaqvqq","1","accent_credibility_four_speakers","6a0947672fcbb5db946e8a08","6a0d18ca6b133c23bd4a9bda","6a0d212697ae74e16a75719d","prolific","","","","","","","[{""page_index"":0,""viewing_time"":6291},{""page_index"":1,""viewing_time"":6228},{""page_index"":2,""viewing_time"":6620},{""page_index"":3,""viewing_time"":6696},{""page_index"":4,""viewing_time"":9369}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","12708","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","84323","tqjaqvqq","1","accent_credibility_four_speakers","6a0947672fcbb5db946e8a08","6a0d18ca6b133c23bd4a9bda","6a0d212697ae74e16a75719d","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","89576","tqjaqvqq","1","accent_credibility_four_speakers","6a0947672fcbb5db946e8a08","6a0d18ca6b133c23bd4a9bda","6a0d212697ae74e16a75719d","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","4441","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","13","html-slider-response","11","2.1.0","94021","tqjaqvqq","1","accent_credibility_four_speakers","6a0947672fcbb5db946e8a08","6a0d18ca6b133c23bd4a9bda","6a0d212697ae74e16a75719d","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","13","13","0","14","definitely false","definitely true"
"practice_complete","1550","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","95573","tqjaqvqq","1","accent_credibility_four_speakers","6a0947672fcbb5db946e8a08","6a0d18ca6b133c23bd4a9bda","6a0d212697ae74e16a75719d","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/native_1/ha77v84840_13F_audio.webm","null","audio-keyboard-response","13","2.1.1","101213","tqjaqvqq","1","accent_credibility_four_speakers","6a0947672fcbb5db946e8a08","6a0d18ca6b133c23bd4a9bda","6a0d212697ae74e16a75719d","prolific","","","","","","","","13","13F","13","Audio item 13","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_13F_audio.webm","","","","","","",""
"truth_judgment","2554","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","3","html-slider-response","14","2.1.0","103769","tqjaqvqq","1","accent_credibility_four_speakers","6a0947672fcbb5db946e8a08","6a0d18ca6b133c23bd4a9bda","6a0d212697ae74e16a75719d","prolific","","","","","","","","13","13F","13","Audio item 13","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_13F_audio.webm","7","3","3","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F3T_audio.webm","null","audio-keyboard-response","15","2.1.1","106712","tqjaqvqq","1","accent_credibility_four_speakers","6a0947672fcbb5db946e8a08","6a0d18ca6b133c23bd4a9bda","6a0d212697ae74e16a75719d","prolific","","","","","","","","F3","F3T","3","Audio item F3","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F3T_audio.webm","","","","","","",""
"truth_judgment","2092","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","16","2.1.0","108805","tqjaqvqq","1","accent_credibility_four_speakers","6a0947672fcbb5db946e8a08","6a0d18ca6b133c23bd4a9bda","6a0d212697ae74e16a75719d","prolific","","","","","","","","F3","F3T","3","Audio item F3","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F3T_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_8T_audio.webm","null","audio-keyboard-response","17","2.1.1","113602","tqjaqvqq","1","accent_credibility_four_speakers","6a0947672fcbb5db946e8a08","6a0d18ca6b133c23bd4a9bda","6a0d212697ae74e16a75719d","prolific","","","","","","","","8","8T","8","Audio item 8","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_8T_audio.webm","","","","","","",""
"truth_judgment","2006","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","18","2.1.0","115610","tqjaqvqq","1","accent_credibility_four_speakers","6a0947672fcbb5db946e8a08","6a0d18ca6b133c23bd4a9bda","6a0d212697ae74e16a75719d","prolific","","","","","","","","8","8T","8","Audio item 8","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_8T_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_11T_audio.webm","null","audio-keyboard-response","19","2.1.1","123170","tqjaqvqq","1","accent_credibility_four_speakers","6a0947672fcbb5db946e8a08","6a0d18ca6b133c23bd4a9bda","6a0d212697ae74e16a75719d","prolific","","","","","","","","11","11T","11","Audio item 11","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_11T_audio.webm","","","","","","",""
"truth_judgment","3184","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","4","html-slider-response","20","2.1.0","126356","tqjaqvqq","1","accent_credibility_four_speakers","6a0947672fcbb5db946e8a08","6a0d18ca6b133c23bd4a9bda","6a0d212697ae74e16a75719d","prolific","","","","","","","","11","11T","11","Audio item 11","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_11T_audio.webm","7","4","4","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_2T_audio.webm","null","audio-keyboard-response","21","2.1.1","131154","tqjaqvqq","1","accent_credibility_four_speakers","6a0947672fcbb5db946e8a08","6a0d18ca6b133c23bd4a9bda","6a0d212697ae74e16a75719d","prolific","","","","","","","","2","2T","2","Audio item 2","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_2T_audio.webm","","","","","","",""
