"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","11269","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","11276","u5fed0mc","2","accent_credibility_four_speakers","67048d5f52bfc5947eff998d","6a0d18ca6b133c23bd4a9bda","6a0d2269408c0a5c0f4e0856","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","11582","u5fed0mc","2","accent_credibility_four_speakers","67048d5f52bfc5947eff998d","6a0d18ca6b133c23bd4a9bda","6a0d2269408c0a5c0f4e0856","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","95373","","","instructions","3","2.1.0","106956","u5fed0mc","2","accent_credibility_four_speakers","67048d5f52bfc5947eff998d","6a0d18ca6b133c23bd4a9bda","6a0d2269408c0a5c0f4e0856","prolific","","","","","","","[{""page_index"":0,""viewing_time"":11652},{""page_index"":1,""viewing_time"":12168},{""page_index"":2,""viewing_time"":31648},{""page_index"":3,""viewing_time"":8595},{""page_index"":4,""viewing_time"":31310}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","7663","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","160611","u5fed0mc","2","accent_credibility_four_speakers","67048d5f52bfc5947eff998d","6a0d18ca6b133c23bd4a9bda","6a0d2269408c0a5c0f4e0856","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","165444","u5fed0mc","2","accent_credibility_four_speakers","67048d5f52bfc5947eff998d","6a0d18ca6b133c23bd4a9bda","6a0d2269408c0a5c0f4e0856","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","3468","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","11","html-slider-response","11","2.1.0","168914","u5fed0mc","2","accent_credibility_four_speakers","67048d5f52bfc5947eff998d","6a0d18ca6b133c23bd4a9bda","6a0d2269408c0a5c0f4e0856","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","11","11","0","14","definitely false","definitely true"
"practice_complete","2263","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","171178","u5fed0mc","2","accent_credibility_four_speakers","67048d5f52bfc5947eff998d","6a0d18ca6b133c23bd4a9bda","6a0d2269408c0a5c0f4e0856","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_10T_audio.webm","null","audio-keyboard-response","13","2.1.1","174777","u5fed0mc","2","accent_credibility_four_speakers","67048d5f52bfc5947eff998d","6a0d18ca6b133c23bd4a9bda","6a0d2269408c0a5c0f4e0856","prolific","","","","","","","","10","10T","10","Audio item 10","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_10T_audio.webm","","","","","","",""
"truth_judgment","6560","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","5","html-slider-response","14","2.1.0","181338","u5fed0mc","2","accent_credibility_four_speakers","67048d5f52bfc5947eff998d","6a0d18ca6b133c23bd4a9bda","6a0d2269408c0a5c0f4e0856","prolific","","","","","","","","10","10T","10","Audio item 10","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_10T_audio.webm","7","5","5","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_34F_audio.webm","null","audio-keyboard-response","15","2.1.1","183977","u5fed0mc","2","accent_credibility_four_speakers","67048d5f52bfc5947eff998d","6a0d18ca6b133c23bd4a9bda","6a0d2269408c0a5c0f4e0856","prolific","","","","","","","","34","34F","34","Audio item 34","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_34F_audio.webm","","","","","","",""
"truth_judgment","3231","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","0","html-slider-response","16","2.1.0","187209","u5fed0mc","2","accent_credibility_four_speakers","67048d5f52bfc5947eff998d","6a0d18ca6b133c23bd4a9bda","6a0d2269408c0a5c0f4e0856","prolific","","","","","","","","34","34F","34","Audio item 34","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_34F_audio.webm","7","0","0","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_35F_audio.webm","null","audio-keyboard-response","17","2.1.1","191172","u5fed0mc","2","accent_credibility_four_speakers","67048d5f52bfc5947eff998d","6a0d18ca6b133c23bd4a9bda","6a0d2269408c0a5c0f4e0856","prolific","","","","","","","","35","35F","35","Audio item 35","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_35F_audio.webm","","","","","","",""
"truth_judgment","4797","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","10","html-slider-response","18","2.1.0","195970","u5fed0mc","2","accent_credibility_four_speakers","67048d5f52bfc5947eff998d","6a0d18ca6b133c23bd4a9bda","6a0d2269408c0a5c0f4e0856","prolific","","","","","","","","35","35F","35","Audio item 35","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_35F_audio.webm","7","10","10","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_26F_audio.webm","null","audio-keyboard-response","19","2.1.1","199807","u5fed0mc","2","accent_credibility_four_speakers","67048d5f52bfc5947eff998d","6a0d18ca6b133c23bd4a9bda","6a0d2269408c0a5c0f4e0856","prolific","","","","","","","","26","26F","26","Audio item 26","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_26F_audio.webm","","","","","","",""
"truth_judgment","5074","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","1","html-slider-response","20","2.1.0","204882","u5fed0mc","2","accent_credibility_four_speakers","67048d5f52bfc5947eff998d","6a0d18ca6b133c23bd4a9bda","6a0d2269408c0a5c0f4e0856","prolific","","","","","","","","26","26F","26","Audio item 26","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_26F_audio.webm","7","1","1","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_1/ha77v84840_8F_audio.webm","null","audio-keyboard-response","21","2.1.1","210522","u5fed0mc","2","accent_credibility_four_speakers","67048d5f52bfc5947eff998d","6a0d18ca6b133c23bd4a9bda","6a0d2269408c0a5c0f4e0856","prolific","","","","","","","","8","8F","8","Audio item 8","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_8F_audio.webm","","","","","","",""
"truth_judgment","4783","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","3","html-slider-response","22","2.1.0","215306","u5fed0mc","2","accent_credibility_four_speakers","67048d5f52bfc5947eff998d","6a0d18ca6b133c23bd4a9bda","6a0d2269408c0a5c0f4e0856","prolific","","","","","","","","8","8F","8","Audio item 8","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_8F_audio.webm","7","3","3","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_1/ha77v84840_20T_audio.webm","null","audio-keyboard-response","23","2.1.1","221130","u5fed0mc","2","accent_credibility_four_speakers","67048d5f52bfc5947eff998d","6a0d18ca6b133c23bd4a9bda","6a0d2269408c0a5c0f4e0856","prolific","","","","","","","","20","20T","20","Audio item 20","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_20T_audio.webm","","","","","","",""
"truth_judgment","2668","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","11","html-slider-response","24","2.1.0","223799","u5fed0mc","2","accent_credibility_four_speakers","67048d5f52bfc5947eff998d","6a0d18ca6b133c23bd4a9bda","6a0d2269408c0a5c0f4e0856","prolific","","","","","","","","20","20T","20","Audio item 20","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_20T_audio.webm","7","11","11","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_25T_audio.webm","null","audio-keyboard-response","25","2.1.1","226916","u5fed0mc","2","accent_credibility_four_speakers","67048d5f52bfc5947eff998d","6a0d18ca6b133c23bd4a9bda","6a0d2269408c0a5c0f4e0856","prolific","","","","","","","","25","25T","25","Audio item 25","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_25T_audio.webm","","","","","","",""
"truth_judgment","3396","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","11","html-slider-response","26","2.1.0","230313","u5fed0mc","2","accent_credibility_four_speakers","67048d5f52bfc5947eff998d","6a0d18ca6b133c23bd4a9bda","6a0d2269408c0a5c0f4e0856","prolific","","","","","","","","25","25T","25","Audio item 25","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_25T_audio.webm","7","11","11","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_31T_audio.webm","null","audio-keyboard-response","27","2.1.1","233855","u5fed0mc","2","accent_credibility_four_speakers","67048d5f52bfc5947eff998d","6a0d18ca6b133c23bd4a9bda","6a0d2269408c0a5c0f4e0856","prolific","","","","","","","","31","31T","31","Audio item 31","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_31T_audio.webm","","","","","","",""
"truth_judgment","2748","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","7","html-slider-response","28","2.1.0","236605","u5fed0mc","2","accent_credibility_four_speakers","67048d5f52bfc5947eff998d","6a0d18ca6b133c23bd4a9bda","6a0d2269408c0a5c0f4e0856","prolific","","","","","","","","31","31T","31","Audio item 31","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_31T_audio.webm","7","7","7","0","14","definitely false","definitely true"
