"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","participant_id_source","prolific_pid","prolific_study_id","prolific_session_id","counterbalance_list","study_name","consented","confirmed_read_and_understood","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label","participant_difficulty_rating_cm","difficulty_scale_min_cm","difficulty_scale_max_cm","difficulty_scale_left_label","difficulty_scale_right_label"
"consent","13651","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","13667","697cba859657746d4f1eb64f","prolific","697cba859657746d4f1eb64f","6a06508679bbd857881fcea0","6a0651c94af7038dbbf5b31e","4","accent_credibility_four_speakers","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"study_purpose_notice","61422","
        <div class=""study-box center-text"">
          <h1>IMPORTANT</h1>
          <p><strong>Read carefully.</strong></p>
          <p>
            The experiment is about the effect of the difficulty of understanding speakers'
            speech and how that affects how believable that speaker's statements seem.
          </p>
        </div>
      ","0","html-button-response","2","2.1.0","75093","697cba859657746d4f1eb64f","prolific","697cba859657746d4f1eb64f","6a06508679bbd857881fcea0","6a0651c94af7038dbbf5b31e","4","accent_credibility_four_speakers","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","3","2.1.0","76048","697cba859657746d4f1eb64f","prolific","697cba859657746d4f1eb64f","6a06508679bbd857881fcea0","6a0651c94af7038dbbf5b31e","4","accent_credibility_four_speakers","","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","73555","","","instructions","4","2.1.0","149606","697cba859657746d4f1eb64f","prolific","697cba859657746d4f1eb64f","6a06508679bbd857881fcea0","6a0651c94af7038dbbf5b31e","4","accent_credibility_four_speakers","","","","","","","","[{""page_index"":0,""viewing_time"":35479},{""page_index"":1,""viewing_time"":6386},{""page_index"":2,""viewing_time"":12054},{""page_index"":3,""viewing_time"":9629},{""page_index"":4,""viewing_time"":10007}]","","","","","","","","","","","","","","","","","","","","","","","",""
"practice_intro","14095","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording, rate how true the statement seems, and then rate how easy or difficult the speaker was to understand.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","10","2.1.0","226296","697cba859657746d4f1eb64f","prolific","697cba859657746d4f1eb64f","6a06508679bbd857881fcea0","6a0651c94af7038dbbf5b31e","4","accent_credibility_four_speakers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm?v=2026-05-12-native2-refresh","null","audio-keyboard-response","11","2.1.1","230980","697cba859657746d4f1eb64f","prolific","697cba859657746d4f1eb64f","6a06508679bbd857881fcea0","6a0651c94af7038dbbf5b31e","4","accent_credibility_four_speakers","","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm?v=2026-05-12-native2-refresh","","","","","","","","","","","",""
"truth_judgment","7269","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","4","html-slider-response","12","2.1.0","238258","697cba859657746d4f1eb64f","prolific","697cba859657746d4f1eb64f","6a06508679bbd857881fcea0","6a0651c94af7038dbbf5b31e","4","accent_credibility_four_speakers","","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm?v=2026-05-12-native2-refresh","7","4","4","0","14","definitely false","definitely true","","","","",""
"speaker_difficulty_rating","4960","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How easy or difficult was this speaker to understand?</div>
    </div>
  ","0","html-slider-response","13","2.1.0","243220","697cba859657746d4f1eb64f","prolific","697cba859657746d4f1eb64f","6a06508679bbd857881fcea0","6a0651c94af7038dbbf5b31e","4","accent_credibility_four_speakers","","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm?v=2026-05-12-native2-refresh","7","","","","","","","0","0","14","Very easy","Very difficult"
"practice_complete","3579","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","14","2.1.0","246808","697cba859657746d4f1eb64f","prolific","697cba859657746d4f1eb64f","6a06508679bbd857881fcea0","6a0651c94af7038dbbf5b31e","4","accent_credibility_four_speakers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/native_1/ha77v84840_18F_audio.webm?v=2026-05-12-native2-refresh","null","audio-keyboard-response","15","2.1.1","251305","697cba859657746d4f1eb64f","prolific","697cba859657746d4f1eb64f","6a06508679bbd857881fcea0","6a0651c94af7038dbbf5b31e","4","accent_credibility_four_speakers","","","","","","","","","18","18F","18","Audio item 18","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_18F_audio.webm?v=2026-05-12-native2-refresh","","","","","","","","","","","",""
