"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","1751","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","1770","jyorp5nb","4","accent_credibility_four_speakers","5edcfe625cd39c9efd5cc2ae","6a0d18ca6b133c23bd4a9bda","6a0d1f3bf2cc5348d86a59e0","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","4495","jyorp5nb","4","accent_credibility_four_speakers","5edcfe625cd39c9efd5cc2ae","6a0d18ca6b133c23bd4a9bda","6a0d1f3bf2cc5348d86a59e0","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","19374","","","instructions","3","2.1.0","23871","jyorp5nb","4","accent_credibility_four_speakers","5edcfe625cd39c9efd5cc2ae","6a0d18ca6b133c23bd4a9bda","6a0d1f3bf2cc5348d86a59e0","prolific","","","","","","","[{""page_index"":0,""viewing_time"":4751},{""page_index"":1,""viewing_time"":3755},{""page_index"":2,""viewing_time"":4373},{""page_index"":3,""viewing_time"":2350},{""page_index"":4,""viewing_time"":4146}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","2747","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","53282","jyorp5nb","4","accent_credibility_four_speakers","5edcfe625cd39c9efd5cc2ae","6a0d18ca6b133c23bd4a9bda","6a0d1f3bf2cc5348d86a59e0","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","58066","jyorp5nb","4","accent_credibility_four_speakers","5edcfe625cd39c9efd5cc2ae","6a0d18ca6b133c23bd4a9bda","6a0d1f3bf2cc5348d86a59e0","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","3202","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","3","html-slider-response","11","2.1.0","61273","jyorp5nb","4","accent_credibility_four_speakers","5edcfe625cd39c9efd5cc2ae","6a0d18ca6b133c23bd4a9bda","6a0d1f3bf2cc5348d86a59e0","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","3","3","0","14","definitely false","definitely true"
"practice_complete","1417","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","62693","jyorp5nb","4","accent_credibility_four_speakers","5edcfe625cd39c9efd5cc2ae","6a0d18ca6b133c23bd4a9bda","6a0d1f3bf2cc5348d86a59e0","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/native_2/6nhu1nbwba_7F_audio.webm","null","audio-keyboard-response","13","2.1.1","66474","jyorp5nb","4","accent_credibility_four_speakers","5edcfe625cd39c9efd5cc2ae","6a0d18ca6b133c23bd4a9bda","6a0d1f3bf2cc5348d86a59e0","prolific","","","","","","","","7","7F","7","Audio item 7","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_7F_audio.webm","","","","","","",""
"truth_judgment","2346","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","10","html-slider-response","14","2.1.0","68821","jyorp5nb","4","accent_credibility_four_speakers","5edcfe625cd39c9efd5cc2ae","6a0d18ca6b133c23bd4a9bda","6a0d1f3bf2cc5348d86a59e0","prolific","","","","","","","","7","7F","7","Audio item 7","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_7F_audio.webm","7","10","10","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F14T_audio.webm","null","audio-keyboard-response","15","2.1.1","73494","jyorp5nb","4","accent_credibility_four_speakers","5edcfe625cd39c9efd5cc2ae","6a0d18ca6b133c23bd4a9bda","6a0d1f3bf2cc5348d86a59e0","prolific","","","","","","","","F14","F14T","14","Audio item F14","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F14T_audio.webm","","","","","","",""
"truth_judgment","2513","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","3","html-slider-response","16","2.1.0","76010","jyorp5nb","4","accent_credibility_four_speakers","5edcfe625cd39c9efd5cc2ae","6a0d18ca6b133c23bd4a9bda","6a0d1f3bf2cc5348d86a59e0","prolific","","","","","","","","F14","F14T","14","Audio item F14","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F14T_audio.webm","7","3","3","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_37T_audio.webm","null","audio-keyboard-response","17","2.1.1","79605","jyorp5nb","4","accent_credibility_four_speakers","5edcfe625cd39c9efd5cc2ae","6a0d18ca6b133c23bd4a9bda","6a0d1f3bf2cc5348d86a59e0","prolific","","","","","","","","37","37T","37","Audio item 37","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_37T_audio.webm","","","","","","",""
"truth_judgment","2804","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","18","2.1.0","82410","jyorp5nb","4","accent_credibility_four_speakers","5edcfe625cd39c9efd5cc2ae","6a0d18ca6b133c23bd4a9bda","6a0d1f3bf2cc5348d86a59e0","prolific","","","","","","","","37","37T","37","Audio item 37","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_37T_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_1/ha77v84840_18T_audio.webm","null","audio-keyboard-response","19","2.1.1","87204","jyorp5nb","4","accent_credibility_four_speakers","5edcfe625cd39c9efd5cc2ae","6a0d18ca6b133c23bd4a9bda","6a0d1f3bf2cc5348d86a59e0","prolific","","","","","","","","18","18T","18","Audio item 18","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_18T_audio.webm","","","","","","",""
"truth_judgment","2591","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","12","html-slider-response","20","2.1.0","89797","jyorp5nb","4","accent_credibility_four_speakers","5edcfe625cd39c9efd5cc2ae","6a0d18ca6b133c23bd4a9bda","6a0d1f3bf2cc5348d86a59e0","prolific","","","","","","","","18","18T","18","Audio item 18","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_18T_audio.webm","7","12","12","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_3F_audio.webm","null","audio-keyboard-response","21","2.1.1","94714","jyorp5nb","4","accent_credibility_four_speakers","5edcfe625cd39c9efd5cc2ae","6a0d18ca6b133c23bd4a9bda","6a0d1f3bf2cc5348d86a59e0","prolific","","","","","","","","3","3F","3","Audio item 3","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_3F_audio.webm","","","","","","",""
