"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","10986","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","11059","helwkos5","2","accent_credibility_four_speakers","699ec098d5e833b119bb99dc","6a0d18ca6b133c23bd4a9bda","6a0d205a33b5fb2e48270a2e","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","19437","helwkos5","2","accent_credibility_four_speakers","699ec098d5e833b119bb99dc","6a0d18ca6b133c23bd4a9bda","6a0d205a33b5fb2e48270a2e","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","68661","","","instructions","3","2.1.0","88100","helwkos5","2","accent_credibility_four_speakers","699ec098d5e833b119bb99dc","6a0d18ca6b133c23bd4a9bda","6a0d205a33b5fb2e48270a2e","prolific","","","","","","","[{""page_index"":0,""viewing_time"":6123},{""page_index"":1,""viewing_time"":7036},{""page_index"":2,""viewing_time"":39664},{""page_index"":3,""viewing_time"":8315},{""page_index"":4,""viewing_time"":7522}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","4894","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","173946","helwkos5","2","accent_credibility_four_speakers","699ec098d5e833b119bb99dc","6a0d18ca6b133c23bd4a9bda","6a0d205a33b5fb2e48270a2e","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","179004","helwkos5","2","accent_credibility_four_speakers","699ec098d5e833b119bb99dc","6a0d18ca6b133c23bd4a9bda","6a0d205a33b5fb2e48270a2e","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","4968","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","2","html-slider-response","11","2.1.0","184025","helwkos5","2","accent_credibility_four_speakers","699ec098d5e833b119bb99dc","6a0d18ca6b133c23bd4a9bda","6a0d205a33b5fb2e48270a2e","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","2","2","0","14","definitely false","definitely true"
"practice_complete","2167","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","186201","helwkos5","2","accent_credibility_four_speakers","699ec098d5e833b119bb99dc","6a0d18ca6b133c23bd4a9bda","6a0d205a33b5fb2e48270a2e","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_38F_audio.webm","null","audio-keyboard-response","13","2.1.1","190713","helwkos5","2","accent_credibility_four_speakers","699ec098d5e833b119bb99dc","6a0d18ca6b133c23bd4a9bda","6a0d205a33b5fb2e48270a2e","prolific","","","","","","","","38","38F","38","Audio item 38","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_38F_audio.webm","","","","","","",""
"truth_judgment","4372","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","9","html-slider-response","14","2.1.0","195087","helwkos5","2","accent_credibility_four_speakers","699ec098d5e833b119bb99dc","6a0d18ca6b133c23bd4a9bda","6a0d205a33b5fb2e48270a2e","prolific","","","","","","","","38","38F","38","Audio item 38","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_38F_audio.webm","7","9","9","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_22T_audio.webm","null","audio-keyboard-response","15","2.1.1","199473","helwkos5","2","accent_credibility_four_speakers","699ec098d5e833b119bb99dc","6a0d18ca6b133c23bd4a9bda","6a0d205a33b5fb2e48270a2e","prolific","","","","","","","","22","22T","22","Audio item 22","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_22T_audio.webm","","","","","","",""
"truth_judgment","3689","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","0","html-slider-response","16","2.1.0","203165","helwkos5","2","accent_credibility_four_speakers","699ec098d5e833b119bb99dc","6a0d18ca6b133c23bd4a9bda","6a0d205a33b5fb2e48270a2e","prolific","","","","","","","","22","22T","22","Audio item 22","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_22T_audio.webm","7","0","0","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_1/ha77v84840_44T_audio.webm","null","audio-keyboard-response","17","2.1.1","207004","helwkos5","2","accent_credibility_four_speakers","699ec098d5e833b119bb99dc","6a0d18ca6b133c23bd4a9bda","6a0d205a33b5fb2e48270a2e","prolific","","","","","","","","44","44T","44","Audio item 44","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_44T_audio.webm","","","","","","",""
"truth_judgment","3965","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","5","html-slider-response","18","2.1.0","210971","helwkos5","2","accent_credibility_four_speakers","699ec098d5e833b119bb99dc","6a0d18ca6b133c23bd4a9bda","6a0d205a33b5fb2e48270a2e","prolific","","","","","","","","44","44T","44","Audio item 44","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_44T_audio.webm","7","5","5","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_9T_audio.webm","null","audio-keyboard-response","19","2.1.1","214754","helwkos5","2","accent_credibility_four_speakers","699ec098d5e833b119bb99dc","6a0d18ca6b133c23bd4a9bda","6a0d205a33b5fb2e48270a2e","prolific","","","","","","","","9","9T","9","Audio item 9","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_9T_audio.webm","","","","","","",""
"truth_judgment","3521","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","0","html-slider-response","20","2.1.0","218278","helwkos5","2","accent_credibility_four_speakers","699ec098d5e833b119bb99dc","6a0d18ca6b133c23bd4a9bda","6a0d205a33b5fb2e48270a2e","prolific","","","","","","","","9","9T","9","Audio item 9","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_9T_audio.webm","7","0","0","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_1/ha77v84840_24F_audio.webm","null","audio-keyboard-response","21","2.1.1","224094","helwkos5","2","accent_credibility_four_speakers","699ec098d5e833b119bb99dc","6a0d18ca6b133c23bd4a9bda","6a0d205a33b5fb2e48270a2e","prolific","","","","","","","","24","24F","24","Audio item 24","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_24F_audio.webm","","","","","","",""
"truth_judgment","2973","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","22","2.1.0","227069","helwkos5","2","accent_credibility_four_speakers","699ec098d5e833b119bb99dc","6a0d18ca6b133c23bd4a9bda","6a0d205a33b5fb2e48270a2e","prolific","","","","","","","","24","24F","24","Audio item 24","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_24F_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F3F_audio.webm","null","audio-keyboard-response","23","2.1.1","231083","helwkos5","2","accent_credibility_four_speakers","699ec098d5e833b119bb99dc","6a0d18ca6b133c23bd4a9bda","6a0d205a33b5fb2e48270a2e","prolific","","","","","","","","F3","F3F","3","Audio item F3","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F3F_audio.webm","","","","","","",""
"truth_judgment","5139","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","9","html-slider-response","24","2.1.0","236225","helwkos5","2","accent_credibility_four_speakers","699ec098d5e833b119bb99dc","6a0d18ca6b133c23bd4a9bda","6a0d205a33b5fb2e48270a2e","prolific","","","","","","","","F3","F3F","3","Audio item F3","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F3F_audio.webm","7","9","9","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_1/ha77v84840_32F_audio.webm","null","audio-keyboard-response","25","2.1.1","239884","helwkos5","2","accent_credibility_four_speakers","699ec098d5e833b119bb99dc","6a0d18ca6b133c23bd4a9bda","6a0d205a33b5fb2e48270a2e","prolific","","","","","","","","32","32F","32","Audio item 32","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_32F_audio.webm","","","","","","",""
"truth_judgment","5245","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","3","html-slider-response","26","2.1.0","245131","helwkos5","2","accent_credibility_four_speakers","699ec098d5e833b119bb99dc","6a0d18ca6b133c23bd4a9bda","6a0d205a33b5fb2e48270a2e","prolific","","","","","","","","32","32F","32","Audio item 32","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_32F_audio.webm","7","3","3","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_26T_audio.webm","null","audio-keyboard-response","27","2.1.1","248723","helwkos5","2","accent_credibility_four_speakers","699ec098d5e833b119bb99dc","6a0d18ca6b133c23bd4a9bda","6a0d205a33b5fb2e48270a2e","prolific","","","","","","","","26","26T","26","Audio item 26","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_26T_audio.webm","","","","","","",""
"truth_judgment","7623","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","8","html-slider-response","28","2.1.0","256349","helwkos5","2","accent_credibility_four_speakers","699ec098d5e833b119bb99dc","6a0d18ca6b133c23bd4a9bda","6a0d205a33b5fb2e48270a2e","prolific","","","","","","","","26","26T","26","Audio item 26","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_26T_audio.webm","7","8","8","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F2F_audio.webm","null","audio-keyboard-response","29","2.1.1","262164","helwkos5","2","accent_credibility_four_speakers","699ec098d5e833b119bb99dc","6a0d18ca6b133c23bd4a9bda","6a0d205a33b5fb2e48270a2e","prolific","","","","","","","","F2","F2F","2","Audio item F2","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F2F_audio.webm","","","","","","",""
