"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","6796","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","6809","43pb5llb","4","accent_credibility_four_speakers","69b70f09148f039c891496ca","6a0d18ca6b133c23bd4a9bda","6a0d1e894d2d605af23479c4","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","7066","43pb5llb","4","accent_credibility_four_speakers","69b70f09148f039c891496ca","6a0d18ca6b133c23bd4a9bda","6a0d1e894d2d605af23479c4","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","51873","","","instructions","3","2.1.0","58940","43pb5llb","4","accent_credibility_four_speakers","69b70f09148f039c891496ca","6a0d18ca6b133c23bd4a9bda","6a0d1e894d2d605af23479c4","prolific","","","","","","","[{""page_index"":0,""viewing_time"":3139},{""page_index"":1,""viewing_time"":5884},{""page_index"":2,""viewing_time"":8083},{""page_index"":3,""viewing_time"":7634},{""page_index"":4,""viewing_time"":27133}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","4879","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","99204","43pb5llb","4","accent_credibility_four_speakers","69b70f09148f039c891496ca","6a0d18ca6b133c23bd4a9bda","6a0d1e894d2d605af23479c4","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","103971","43pb5llb","4","accent_credibility_four_speakers","69b70f09148f039c891496ca","6a0d18ca6b133c23bd4a9bda","6a0d1e894d2d605af23479c4","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","5080","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","11","html-slider-response","11","2.1.0","109055","43pb5llb","4","accent_credibility_four_speakers","69b70f09148f039c891496ca","6a0d18ca6b133c23bd4a9bda","6a0d1e894d2d605af23479c4","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","11","11","0","14","definitely false","definitely true"
"practice_complete","2097","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","111155","43pb5llb","4","accent_credibility_four_speakers","69b70f09148f039c891496ca","6a0d18ca6b133c23bd4a9bda","6a0d1e894d2d605af23479c4","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_45T_audio.webm","null","audio-keyboard-response","13","2.1.1","115598","43pb5llb","4","accent_credibility_four_speakers","69b70f09148f039c891496ca","6a0d18ca6b133c23bd4a9bda","6a0d1e894d2d605af23479c4","prolific","","","","","","","","45","45T","45","Audio item 45","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_45T_audio.webm","","","","","","",""
"truth_judgment","5704","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","3","html-slider-response","14","2.1.0","121305","43pb5llb","4","accent_credibility_four_speakers","69b70f09148f039c891496ca","6a0d18ca6b133c23bd4a9bda","6a0d1e894d2d605af23479c4","prolific","","","","","","","","45","45T","45","Audio item 45","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_45T_audio.webm","7","3","3","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_1/ha77v84840_10T_audio.webm","null","audio-keyboard-response","15","2.1.1","125691","43pb5llb","4","accent_credibility_four_speakers","69b70f09148f039c891496ca","6a0d18ca6b133c23bd4a9bda","6a0d1e894d2d605af23479c4","prolific","","","","","","","","10","10T","10","Audio item 10","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_10T_audio.webm","","","","","","",""
