"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","1482","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","1495","uqyhxpvm","1","accent_credibility_four_speakers","6985c00a3c127e5cbb246f78","6a0d18ca6b133c23bd4a9bda","6a0d2562c2888d1c1acde965","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","2249","uqyhxpvm","1","accent_credibility_four_speakers","6985c00a3c127e5cbb246f78","6a0d18ca6b133c23bd4a9bda","6a0d2562c2888d1c1acde965","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","76477","","","instructions","3","2.1.0","78728","uqyhxpvm","1","accent_credibility_four_speakers","6985c00a3c127e5cbb246f78","6a0d18ca6b133c23bd4a9bda","6a0d2562c2888d1c1acde965","prolific","","","","","","","[{""page_index"":0,""viewing_time"":3472},{""page_index"":1,""viewing_time"":13698},{""page_index"":0,""viewing_time"":8471},{""page_index"":1,""viewing_time"":8008},{""page_index"":2,""viewing_time"":10643},{""page_index"":3,""viewing_time"":21949},{""page_index"":4,""viewing_time"":10237}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","7600","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","111519","uqyhxpvm","1","accent_credibility_four_speakers","6985c00a3c127e5cbb246f78","6a0d18ca6b133c23bd4a9bda","6a0d2562c2888d1c1acde965","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","116721","uqyhxpvm","1","accent_credibility_four_speakers","6985c00a3c127e5cbb246f78","6a0d18ca6b133c23bd4a9bda","6a0d2562c2888d1c1acde965","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","5485","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","7","html-slider-response","11","2.1.0","122209","uqyhxpvm","1","accent_credibility_four_speakers","6985c00a3c127e5cbb246f78","6a0d18ca6b133c23bd4a9bda","6a0d2562c2888d1c1acde965","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","7","7","0","14","definitely false","definitely true"
"practice_complete","2393","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","124605","uqyhxpvm","1","accent_credibility_four_speakers","6985c00a3c127e5cbb246f78","6a0d18ca6b133c23bd4a9bda","6a0d2562c2888d1c1acde965","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F7F_audio.webm","null","audio-keyboard-response","13","2.1.1","130311","uqyhxpvm","1","accent_credibility_four_speakers","6985c00a3c127e5cbb246f78","6a0d18ca6b133c23bd4a9bda","6a0d2562c2888d1c1acde965","prolific","","","","","","","","F7","F7F","7","Audio item F7","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F7F_audio.webm","","","","","","",""
"truth_judgment","6498","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","5","html-slider-response","14","2.1.0","136811","uqyhxpvm","1","accent_credibility_four_speakers","6985c00a3c127e5cbb246f78","6a0d18ca6b133c23bd4a9bda","6a0d2562c2888d1c1acde965","prolific","","","","","","","","F7","F7F","7","Audio item F7","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F7F_audio.webm","7","5","5","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_2T_audio.webm","null","audio-keyboard-response","15","2.1.1","141610","uqyhxpvm","1","accent_credibility_four_speakers","6985c00a3c127e5cbb246f78","6a0d18ca6b133c23bd4a9bda","6a0d2562c2888d1c1acde965","prolific","","","","","","","","2","2T","2","Audio item 2","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_2T_audio.webm","","","","","","",""
