"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","31890","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","31902","d550w9pg","2","accent_credibility_four_speakers","671d2abf2ba7384f9b45678a","6a0d18ca6b133c23bd4a9bda","6a0d207e937a492e8dcafd13","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","32275","d550w9pg","2","accent_credibility_four_speakers","671d2abf2ba7384f9b45678a","6a0d18ca6b133c23bd4a9bda","6a0d207e937a492e8dcafd13","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","44728","","","instructions","3","2.1.0","77004","d550w9pg","2","accent_credibility_four_speakers","671d2abf2ba7384f9b45678a","6a0d18ca6b133c23bd4a9bda","6a0d207e937a492e8dcafd13","prolific","","","","","","","[{""page_index"":0,""viewing_time"":9265},{""page_index"":1,""viewing_time"":9938},{""page_index"":2,""viewing_time"":5883},{""page_index"":3,""viewing_time"":8503},{""page_index"":4,""viewing_time"":11138}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","3507","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","127779","d550w9pg","2","accent_credibility_four_speakers","671d2abf2ba7384f9b45678a","6a0d18ca6b133c23bd4a9bda","6a0d207e937a492e8dcafd13","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","132955","d550w9pg","2","accent_credibility_four_speakers","671d2abf2ba7384f9b45678a","6a0d18ca6b133c23bd4a9bda","6a0d207e937a492e8dcafd13","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","4222","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","10","html-slider-response","11","2.1.0","137180","d550w9pg","2","accent_credibility_four_speakers","671d2abf2ba7384f9b45678a","6a0d18ca6b133c23bd4a9bda","6a0d207e937a492e8dcafd13","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","10","10","0","14","definitely false","definitely true"
"practice_complete","3731","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","140916","d550w9pg","2","accent_credibility_four_speakers","671d2abf2ba7384f9b45678a","6a0d18ca6b133c23bd4a9bda","6a0d207e937a492e8dcafd13","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/native_2/6nhu1nbwba_45F_audio.webm","null","audio-keyboard-response","13","2.1.1","145835","d550w9pg","2","accent_credibility_four_speakers","671d2abf2ba7384f9b45678a","6a0d18ca6b133c23bd4a9bda","6a0d207e937a492e8dcafd13","prolific","","","","","","","","45","45F","45","Audio item 45","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_45F_audio.webm","","","","","","",""
"truth_judgment","3436","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","10","html-slider-response","14","2.1.0","149273","d550w9pg","2","accent_credibility_four_speakers","671d2abf2ba7384f9b45678a","6a0d18ca6b133c23bd4a9bda","6a0d207e937a492e8dcafd13","prolific","","","","","","","","45","45F","45","Audio item 45","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_45F_audio.webm","7","10","10","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_41T_audio.webm","null","audio-keyboard-response","15","2.1.1","153825","d550w9pg","2","accent_credibility_four_speakers","671d2abf2ba7384f9b45678a","6a0d18ca6b133c23bd4a9bda","6a0d207e937a492e8dcafd13","prolific","","","","","","","","41","41T","41","Audio item 41","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_41T_audio.webm","","","","","","",""
"truth_judgment","2741","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","1","html-slider-response","16","2.1.0","156567","d550w9pg","2","accent_credibility_four_speakers","671d2abf2ba7384f9b45678a","6a0d18ca6b133c23bd4a9bda","6a0d207e937a492e8dcafd13","prolific","","","","","","","","41","41T","41","Audio item 41","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_41T_audio.webm","7","1","1","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_37F_audio.webm","null","audio-keyboard-response","17","2.1.1","160835","d550w9pg","2","accent_credibility_four_speakers","671d2abf2ba7384f9b45678a","6a0d18ca6b133c23bd4a9bda","6a0d207e937a492e8dcafd13","prolific","","","","","","","","37","37F","37","Audio item 37","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_37F_audio.webm","","","","","","",""
"truth_judgment","2923","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","18","2.1.0","163759","d550w9pg","2","accent_credibility_four_speakers","671d2abf2ba7384f9b45678a","6a0d18ca6b133c23bd4a9bda","6a0d207e937a492e8dcafd13","prolific","","","","","","","","37","37F","37","Audio item 37","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_37F_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_1/ha77v84840_20F_audio.webm","null","audio-keyboard-response","19","2.1.1","169465","d550w9pg","2","accent_credibility_four_speakers","671d2abf2ba7384f9b45678a","6a0d18ca6b133c23bd4a9bda","6a0d207e937a492e8dcafd13","prolific","","","","","","","","20","20F","20","Audio item 20","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_20F_audio.webm","","","","","","",""
"truth_judgment","3511","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","5","html-slider-response","20","2.1.0","172977","d550w9pg","2","accent_credibility_four_speakers","671d2abf2ba7384f9b45678a","6a0d18ca6b133c23bd4a9bda","6a0d207e937a492e8dcafd13","prolific","","","","","","","","20","20F","20","Audio item 20","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_20F_audio.webm","7","5","5","0","14","definitely false","definitely true"
