"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","2353","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","2364","tzyyzv6r","3","accent_credibility_four_speakers","5cc4d401cf4449000192a300","6a0d18ca6b133c23bd4a9bda","6a0d1f4434ac54fb484df365","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","3008","tzyyzv6r","3","accent_credibility_four_speakers","5cc4d401cf4449000192a300","6a0d18ca6b133c23bd4a9bda","6a0d1f4434ac54fb484df365","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","5937","","","instructions","3","2.1.0","8948","tzyyzv6r","3","accent_credibility_four_speakers","5cc4d401cf4449000192a300","6a0d18ca6b133c23bd4a9bda","6a0d1f4434ac54fb484df365","prolific","","","","","","","[{""page_index"":0,""viewing_time"":1988},{""page_index"":1,""viewing_time"":892},{""page_index"":2,""viewing_time"":1005},{""page_index"":3,""viewing_time"":1304},{""page_index"":4,""viewing_time"":748}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","902","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","36434","tzyyzv6r","3","accent_credibility_four_speakers","5cc4d401cf4449000192a300","6a0d18ca6b133c23bd4a9bda","6a0d1f4434ac54fb484df365","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","41165","tzyyzv6r","3","accent_credibility_four_speakers","5cc4d401cf4449000192a300","6a0d18ca6b133c23bd4a9bda","6a0d1f4434ac54fb484df365","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","4337","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","8","html-slider-response","11","2.1.0","45509","tzyyzv6r","3","accent_credibility_four_speakers","5cc4d401cf4449000192a300","6a0d18ca6b133c23bd4a9bda","6a0d1f4434ac54fb484df365","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","8","8","0","14","definitely false","definitely true"
"practice_complete","1217","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","46732","tzyyzv6r","3","accent_credibility_four_speakers","5cc4d401cf4449000192a300","6a0d18ca6b133c23bd4a9bda","6a0d1f4434ac54fb484df365","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/native_1/ha77v84840_3T_audio.webm","null","audio-keyboard-response","13","2.1.1","52193","tzyyzv6r","3","accent_credibility_four_speakers","5cc4d401cf4449000192a300","6a0d18ca6b133c23bd4a9bda","6a0d1f4434ac54fb484df365","prolific","","","","","","","","3","3T","3","Audio item 3","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_3T_audio.webm","","","","","","",""
"truth_judgment","2627","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","11","html-slider-response","14","2.1.0","54826","tzyyzv6r","3","accent_credibility_four_speakers","5cc4d401cf4449000192a300","6a0d18ca6b133c23bd4a9bda","6a0d1f4434ac54fb484df365","prolific","","","","","","","","3","3T","3","Audio item 3","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_3T_audio.webm","7","11","11","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_36F_audio.webm","null","audio-keyboard-response","15","2.1.1","59095","tzyyzv6r","3","accent_credibility_four_speakers","5cc4d401cf4449000192a300","6a0d18ca6b133c23bd4a9bda","6a0d1f4434ac54fb484df365","prolific","","","","","","","","36","36F","36","Audio item 36","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_36F_audio.webm","","","","","","",""
