"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","12908","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","12922","pa8187vt","3","accent_credibility_four_speakers","6629442858ac993227d2a95d","6a0d18ca6b133c23bd4a9bda","6a0d1f738a67925a538bc0c1","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","14898","pa8187vt","3","accent_credibility_four_speakers","6629442858ac993227d2a95d","6a0d18ca6b133c23bd4a9bda","6a0d1f738a67925a538bc0c1","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","25206","","","instructions","3","2.1.0","40105","pa8187vt","3","accent_credibility_four_speakers","6629442858ac993227d2a95d","6a0d18ca6b133c23bd4a9bda","6a0d1f738a67925a538bc0c1","prolific","","","","","","","[{""page_index"":0,""viewing_time"":2672},{""page_index"":1,""viewing_time"":4067},{""page_index"":2,""viewing_time"":3216},{""page_index"":3,""viewing_time"":9866},{""page_index"":4,""viewing_time"":5384}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","9482","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","89088","pa8187vt","3","accent_credibility_four_speakers","6629442858ac993227d2a95d","6a0d18ca6b133c23bd4a9bda","6a0d1f738a67925a538bc0c1","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","93749","pa8187vt","3","accent_credibility_four_speakers","6629442858ac993227d2a95d","6a0d18ca6b133c23bd4a9bda","6a0d1f738a67925a538bc0c1","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","8500","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","1","html-slider-response","11","2.1.0","102254","pa8187vt","3","accent_credibility_four_speakers","6629442858ac993227d2a95d","6a0d18ca6b133c23bd4a9bda","6a0d1f738a67925a538bc0c1","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","1","1","0","14","definitely false","definitely true"
"practice_complete","2082","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","104338","pa8187vt","3","accent_credibility_four_speakers","6629442858ac993227d2a95d","6a0d18ca6b133c23bd4a9bda","6a0d1f738a67925a538bc0c1","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/native_2/6nhu1nbwba_48T_audio.webm","null","audio-keyboard-response","13","2.1.1","110036","pa8187vt","3","accent_credibility_four_speakers","6629442858ac993227d2a95d","6a0d18ca6b133c23bd4a9bda","6a0d1f738a67925a538bc0c1","prolific","","","","","","","","48","48T","48","Audio item 48","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_48T_audio.webm","","","","","","",""
"truth_judgment","3966","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","12","html-slider-response","14","2.1.0","114004","pa8187vt","3","accent_credibility_four_speakers","6629442858ac993227d2a95d","6a0d18ca6b133c23bd4a9bda","6a0d1f738a67925a538bc0c1","prolific","","","","","","","","48","48T","48","Audio item 48","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_48T_audio.webm","7","12","12","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_45T_audio.webm","null","audio-keyboard-response","15","2.1.1","119828","pa8187vt","3","accent_credibility_four_speakers","6629442858ac993227d2a95d","6a0d18ca6b133c23bd4a9bda","6a0d1f738a67925a538bc0c1","prolific","","","","","","","","45","45T","45","Audio item 45","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_45T_audio.webm","","","","","","",""
"truth_judgment","3256","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","0","html-slider-response","16","2.1.0","123086","pa8187vt","3","accent_credibility_four_speakers","6629442858ac993227d2a95d","6a0d18ca6b133c23bd4a9bda","6a0d1f738a67925a538bc0c1","prolific","","","","","","","","45","45T","45","Audio item 45","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_45T_audio.webm","7","0","0","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_46T_audio.webm","null","audio-keyboard-response","17","2.1.1","127231","pa8187vt","3","accent_credibility_four_speakers","6629442858ac993227d2a95d","6a0d18ca6b133c23bd4a9bda","6a0d1f738a67925a538bc0c1","prolific","","","","","","","","46","46T","46","Audio item 46","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_46T_audio.webm","","","","","","",""
"truth_judgment","5237","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","4","html-slider-response","18","2.1.0","132470","pa8187vt","3","accent_credibility_four_speakers","6629442858ac993227d2a95d","6a0d18ca6b133c23bd4a9bda","6a0d1f738a67925a538bc0c1","prolific","","","","","","","","46","46T","46","Audio item 46","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_46T_audio.webm","7","4","4","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_20F_audio.webm","null","audio-keyboard-response","19","2.1.1","137391","pa8187vt","3","accent_credibility_four_speakers","6629442858ac993227d2a95d","6a0d18ca6b133c23bd4a9bda","6a0d1f738a67925a538bc0c1","prolific","","","","","","","","20","20F","20","Audio item 20","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_20F_audio.webm","","","","","","",""
"truth_judgment","2726","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","13","html-slider-response","20","2.1.0","140119","pa8187vt","3","accent_credibility_four_speakers","6629442858ac993227d2a95d","6a0d18ca6b133c23bd4a9bda","6a0d1f738a67925a538bc0c1","prolific","","","","","","","","20","20F","20","Audio item 20","F","false","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_20F_audio.webm","7","13","13","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F3T_audio.webm","null","audio-keyboard-response","21","2.1.1","143060","pa8187vt","3","accent_credibility_four_speakers","6629442858ac993227d2a95d","6a0d18ca6b133c23bd4a9bda","6a0d1f738a67925a538bc0c1","prolific","","","","","","","","F3","F3T","3","Audio item F3","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F3T_audio.webm","","","","","","",""
"truth_judgment","3358","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","10","html-slider-response","22","2.1.0","146420","pa8187vt","3","accent_credibility_four_speakers","6629442858ac993227d2a95d","6a0d18ca6b133c23bd4a9bda","6a0d1f738a67925a538bc0c1","prolific","","","","","","","","F3","F3T","3","Audio item F3","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F3T_audio.webm","7","10","10","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_33T_audio.webm","null","audio-keyboard-response","23","2.1.1","149183","pa8187vt","3","accent_credibility_four_speakers","6629442858ac993227d2a95d","6a0d18ca6b133c23bd4a9bda","6a0d1f738a67925a538bc0c1","prolific","","","","","","","","33","33T","33","Audio item 33","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_33T_audio.webm","","","","","","",""
"truth_judgment","3017","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","8","html-slider-response","24","2.1.0","152202","pa8187vt","3","accent_credibility_four_speakers","6629442858ac993227d2a95d","6a0d18ca6b133c23bd4a9bda","6a0d1f738a67925a538bc0c1","prolific","","","","","","","","33","33T","33","Audio item 33","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_33T_audio.webm","7","8","8","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_1/ha77v84840_19T_audio.webm","null","audio-keyboard-response","25","2.1.1","155386","pa8187vt","3","accent_credibility_four_speakers","6629442858ac993227d2a95d","6a0d18ca6b133c23bd4a9bda","6a0d1f738a67925a538bc0c1","prolific","","","","","","","","19","19T","19","Audio item 19","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_19T_audio.webm","","","","","","",""
