"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"consent","127591","
    <div class=""study-box"">
      <h1>Consent Form</h1>
      <p>You are invited to take part in a study about how people evaluate spoken information.</p>
      <p>In this study, you will listen to short audio recordings and rate how true you think each statement is on a continuous scale from <strong>definitely false</strong> to <strong>definitely true</strong>.</p>
      <p>Your responses and reaction times will be recorded. You may stop at any time by closing the browser window.</p>
      <p>By clicking <strong>I consent</strong>, you confirm that you are at least 18 years old, that you understand what participation involves, and that you agree to take part.</p>
    </div>
  ","0","html-button-response","0","2.1.0","127655","14gqzhn1","4","accent_credibility_four_speakers","6644d7bf5f60f4789126db0d","6a0d18ca6b133c23bd4a9bda","6a0d1e4aa8468a828e2ada8b","prolific","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","preload","2","2.1.0","129417","14gqzhn1","4","accent_credibility_four_speakers","6644d7bf5f60f4789126db0d","6a0d18ca6b133c23bd4a9bda","6a0d1e4aa8468a828e2ada8b","prolific","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","52076","","","instructions","3","2.1.0","181496","14gqzhn1","4","accent_credibility_four_speakers","6644d7bf5f60f4789126db0d","6a0d18ca6b133c23bd4a9bda","6a0d1e4aa8468a828e2ada8b","prolific","","","","","","","[{""page_index"":0,""viewing_time"":7139},{""page_index"":1,""viewing_time"":5899},{""page_index"":2,""viewing_time"":11416},{""page_index"":3,""viewing_time"":18097},{""page_index"":4,""viewing_time"":9525}]","","","","","","","","","","","","","","","","","","",""
"practice_intro","6439","
        <div class=""study-box center-text"">
          <h2>Listening Practice Trial</h2>
          <p>You are about to complete one listening practice trial.</p>
          <p>Listen to the recording and rate how true the statement seems on the continuous scale, just like you will in the experiment.</p>
          <p>This trial is only for practice.</p>
        </div>
      ","0","html-button-response","9","2.1.0","235011","14gqzhn1","4","accent_credibility_four_speakers","6644d7bf5f60f4789126db0d","6a0d18ca6b133c23bd4a9bda","6a0d1e4aa8468a828e2ada8b","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F19T_audio.webm","null","audio-keyboard-response","10","2.1.1","239859","14gqzhn1","4","accent_credibility_four_speakers","6644d7bf5f60f4789126db0d","6a0d18ca6b133c23bd4a9bda","6a0d1e4aa8468a828e2ada8b","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","","","","","","",""
"truth_judgment","3854","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","9","html-slider-response","11","2.1.0","243719","14gqzhn1","4","accent_credibility_four_speakers","6644d7bf5f60f4789126db0d","6a0d18ca6b133c23bd4a9bda","6a0d1e4aa8468a828e2ada8b","prolific","","","","","","","","F19","F19T","19","Audio item F19","T","true","practice","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F19T_audio.webm","7","9","9","0","14","definitely false","definitely true"
"practice_complete","2261","
        <div class=""study-box center-text"">
          <h2>Practice Complete</h2>
          <p>You have finished the practice trial.</p>
          <p>The actual experiment will begin next.</p>
        </div>
      ","0","html-button-response","12","2.1.0","245984","14gqzhn1","4","accent_credibility_four_speakers","6644d7bf5f60f4789126db0d","6a0d18ca6b133c23bd4a9bda","6a0d1e4aa8468a828e2ada8b","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio_presentation","null","audio/native_1/ha77v84840_6T_audio.webm","null","audio-keyboard-response","13","2.1.1","252178","14gqzhn1","4","accent_credibility_four_speakers","6644d7bf5f60f4789126db0d","6a0d18ca6b133c23bd4a9bda","6a0d1e4aa8468a828e2ada8b","prolific","","","","","","","","6","6T","6","Audio item 6","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_6T_audio.webm","","","","","","",""
"truth_judgment","2630","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","11","html-slider-response","14","2.1.0","254811","14gqzhn1","4","accent_credibility_four_speakers","6644d7bf5f60f4789126db0d","6a0d18ca6b133c23bd4a9bda","6a0d1e4aa8468a828e2ada8b","prolific","","","","","","","","6","6T","6","Audio item 6","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_6T_audio.webm","7","11","11","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_4T_audio.webm","null","audio-keyboard-response","15","2.1.1","257208","14gqzhn1","4","accent_credibility_four_speakers","6644d7bf5f60f4789126db0d","6a0d18ca6b133c23bd4a9bda","6a0d1e4aa8468a828e2ada8b","prolific","","","","","","","","4","4T","4","Audio item 4","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_4T_audio.webm","","","","","","",""
